名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーアームズ,ノーマル,,,防御力：3 命中：24 攻撃回数：2,,レザーセット
ハンターアームズ,ノーマル,,,防御力：5 命中：40 攻撃回数：2 魔獣特攻：5.0,,ハンターセット
ブロンズアームズ,ノーマル,,,攻撃力：20 防御力：8 命中：60 攻撃回数：2,,ブロンズセット
バトルアームズ,ノーマル,,,防御力：12 命中：80 攻撃回数：2,,バトルセット
アイアンアームズ,ノーマル,,,防御力：20 命中：100 攻撃回数：2,,アイアンセット
デュエルアームズ,ノーマル,,,防御力：30 命中：150 攻撃回数：2 格闘：1.0,,デュエルセット
クルセイダーアームズ,ノーマル,,,HP：80 防御力：40 命中：200 攻撃回数：2 人型特攻：10.0,,クルセイダーセット
ルーンアームズ,ノーマル,,,防御力：50 魔力：70 命中：270 攻撃回数：2,,ルーンセット
インペリアルアームズ,ノーマル,,,HP：100 防御力：80 命中：400 攻撃回数：2,,インペリアルセット
高級レザーガントレット,レア,北西の海岸線,,攻撃力：20 防御力：12 命中：40 攻撃回数：2,,成金セット
ボーンガントレット,レア,古代の墓地,,防御力：10 命中：44 攻撃回数：4,,ボーンセット
イボ付き軍手,レア,風竜の爪痕,,防御力：2 命中：100 攻撃回数：1,,作業用セット
盗賊の籠手,レア,香辛料の町ペペリ,,防御力：10 命中：130 攻撃回数：2 解錠：70.0,器用Lv.4,
土塊の籠手,レア,アジーナル平野,,HP：250 防御力：40 魔力：60 命中：220 攻撃回数：1 地威力：15.0,,
カニバリスト,レア,賢者ゼインの識界 四大精霊の塔,,攻撃力：70 防御力：30 命中：250 攻撃回数：3 人型特攻：15.0,,
吸盤手袋,レア,群青商港,,防御力：50 命中：450 攻撃回数：2 水耐性：5.0 最低命中率：0.5,最低命中率Lv.2,オクトパスセット
飛海亀の水掻き,レア,魔海域南端,,防御力：80 魔防：60 命中：400 攻撃回数：3 水威力：10.0 水耐性：10.0,水中呼吸 ［雨］行動速度+10%,
海賊のグローブ,レア,パイレーツデッドシップ プリズナーズライン,,HP：100 防御力：60 命中：450 攻撃回数：2 解錠：50.0 アイテムDROP率：1.0,,パイレーツセット
いたずら手袋,レア,星拾いの珊瑚島 プリズナーズライン,,防御力：70 命中：300 攻撃回数：4 解錠：40.0 混乱攻撃：30.0 アイテムDROP率：1.0,,フェアリーセット
珊瑚の腕輪,レア,渦潮の近道,,HP：250 防御力：80 命中：400 攻撃回数：2 自然回復：1.0 固定ダメージ：5.0,,珊瑚セット
