名称,ランク,ドロップ,属性,基本性能,スキル,備考
アックス,ノーマル,,壊,攻撃力：37 攻撃回数：-6 拡散攻撃：30.0,,
ハンターアックス,ノーマル,,壊,攻撃力：60 攻撃回数：-6 拡散攻撃：32.0,,
ブロンズアックス,ノーマル,,壊,攻撃力：90 攻撃回数：-6 拡散攻撃：34.0,,
バトルアックス,ノーマル,,壊,攻撃力：150 攻撃回数：-6 拡散攻撃：36.0,,
アイアンアックス,ノーマル,,壊,攻撃力：255 攻撃回数：-6 拡散攻撃：38.0,,
デュエルアックス,ノーマル,,壊,攻撃力：330 攻撃回数：-6 拡散攻撃：40.0,,
クルセイダーアックス,ノーマル,,壊,攻撃力：465 攻撃回数：-6 拡散攻撃：42.0 悪魔特攻：15.0,,
ルーンアックス,ノーマル,,壊,攻撃力：600 魔力：300 攻撃回数：-6 拡散攻撃：44.0,,
インペリアルアックス,ノーマル,,壊,攻撃力：750 攻撃回数：-6 拡散攻撃：44.0,,
ハチェット,レア,ゴブリンの洞窟,壊,攻撃力：38 攻撃回数：-4 拡散攻撃：35.0,,
打製石斧,レア,黒霧の沼地,壊,攻撃力：90 攻撃回数：-6 自然回復：2.0 拡散攻撃：30.0,,
フランシスカ,レア,亜熱帯の草原,斬,攻撃力：140 攻撃回数：-4 貫通攻撃：20.0 拡散攻撃：30.0,,
イプシロンアックス,レア,初代王のピラミッド,壊,攻撃力：260 攻撃回数：-5 拡散攻撃：55.0,,
パラノイア,レア,魔法都市ゼイン 黙示録教団の大聖堂,斬,攻撃力：340 攻撃回数：-6 狂化攻撃：20.0 拡散攻撃：55.0 睡眠耐性：50.0,皆殺し,
オーガアックス,レア,教会への裏参道,斬,攻撃力：550 回避：-400 行動速度：-400 攻撃回数：-20 拡散攻撃：60.0,,
トマホーク,レア,裏門,壊,攻撃力：370 攻撃回数：-4 致命打率：25.0 拡散攻撃：35.0 アイテムDROP率：0.7,,
ピッケル,レア,四大精霊の塔 ディープシーケイブ 新大陸の海 リヴァイアサンの胃袋,突,HP：350 攻撃力：50 石化攻撃：10.0 多段攻撃：60.0 睡眠耐性：50.0 石化耐性：30.0 アイテムDROP率：2.5,採掘,坑道セット
ヒートトマホーク,レア,四大精霊の塔 無明の最深層,壊,攻撃力：450 攻撃回数：-5 致命打率：20.0 拡散攻撃：35.0 魔獣特攻：30.0 火威力：20.0,,
まさかり,レア,魔海域南端,壊,HP：300 攻撃力：700 攻撃回数：-4 魔獣特攻：30.0,獣狩りLv.2,
グリズリークロス,レア,コロシアム・模擬剣闘,壊,攻撃力：800 攻撃回数：2 貫通攻撃：30.0 拡散攻撃：30.0 魔獣特攻：20.0,,
薪割り用斧,レア,コロシアム・予選,壊,HP：400 攻撃力：80 多段攻撃：80.0 睡眠耐性：50.0 アイテムDROP率：3.0,,
眠りの斧,レア,海底神殿,壊,HP：600 攻撃力：500 攻撃回数：-5 自然回復：3.0 睡眠攻撃：50.0 睡眠耐性：-100.0,,
バーサーカーアックス,レア,コロシアム・本戦決勝 ドワーフの試練遺跡,壊,攻撃力：950 防御力：-600 魔力：600 命中：-200 行動速度：200 拡散攻撃：40.0,バーサク,
打壊の鉄槌,レア,コロシアム・本戦決勝,壊,攻撃力：1200 行動速度：-200 攻撃回数：-10 致命打率：-50.0 拡散攻撃：100.0,,
電斧ゼータ,レア,クリスタル峡谷 機械技師ヴァーニアの識界 ワールズエンドクレーター,壊,攻撃力：1200 魔力：500 攻撃回数：-15 麻痺攻撃：30.0 拡散攻撃：20.0 機械特攻：15.0 雷威力：10.0,,
ゴブリンハンマー,レア,機械トロッコ坑道,壊,攻撃力：1250 攻撃回数：-20 拡散攻撃：20.0 反撃発動率：4.0,,
響きの斧,レア,無明の最深層,壊,攻撃力：1000 攻撃回数：-10 睡眠攻撃：30.0 拡散攻撃：30.0,叩き起こす,
コメットハチェット,レア,フイユルージュワイナリー 占星帝国ガガリオン,壊,攻撃力：800 魔力：800 命中：300 攻撃回数：2 水威力：10.0 アイテムDROP率：3.0,アックススロー ［先制］怒りカウントLv.3,
グリムサイス,レア,死神座,斬,攻撃力：1100 防御力：-400 攻撃回数：-20 致命打率：60.0 貫通攻撃：100.0 即死攻撃：5.0 吸収：2.0 幻神特攻：60.0,［状態］呪い,グリムセット
ゴブリンハチェット,ユニーク,ゴブリンの洞窟,壊,攻撃力：75 攻撃回数：-8 拡散攻撃：40.0,,
ノールの槌,ユニーク,風竜の爪痕,壊,攻撃力：120 攻撃回数：-6 拡散攻撃：30.0 地威力：40.0,,
ダムレイの大斧,ユニーク,香辛料の町ペペリ 裏門 コロシアム・本戦第二試合,壊,攻撃力：400 攻撃回数：-20 拡散攻撃：50.0,フルスイング,
蝕斧,ユニーク,アキーク大砂丘,斬,攻撃力：470 攻撃回数：-6 毒攻撃：40.0 拡散攻撃：35.0 毒威力：1.5,,蝕みセット
凶鰐の大斧,ユニーク,インサイドビーチ,斬,攻撃力：1200 攻撃回数：-20 致命打威力：20.0 貫通攻撃：30.0 拡散攻撃：50.0,,
ダークネスキング,ユニーク,ディープシーケイブ,壊,攻撃力：900 攻撃回数：-10 暗闇攻撃：30.0 拡散攻撃：20.0 最低命中率：1.5,同化 闇討ち 暗視 ［回避率無視］暗闇状態,
ダムレイの巨岩斧,ユニーク,コロシアム・本戦第二試合 罪人たちの楽園,壊,攻撃力：1300 行動速度：-500 攻撃回数：-40 致命打威力：20.0 拡散攻撃：60.0 人型特攻：30.0,敵対心Lv.2 拡散攻撃Lv.2,
