名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーベルト,ノーマル,,,HP：20 防御力：4,,
ハンターベルト,ノーマル,,,HP：30 防御力：6 魔獣特攻：5.0,,
ブロンズベルト,ノーマル,,,HP：40 防御力：10,,
バトルベルト,ノーマル,,,HP：60 防御力：20,,
アイアンベルト,ノーマル,,,HP：120 防御力：30 斬耐性：5.0,,
デュエルベルト,ノーマル,,,HP：160 防御力：40 格闘：0.5,,
クルセイダーベルト,ノーマル,,,HP：280 防御力：70,,
ルーンベルト,ノーマル,,,HP：300 防御力：70 魔防：70,,
インペリアルベルト,ノーマル,,,HP：500 防御力：100,,
クロコダイルレザーベルト,レア,インサイドビーチ,,HP：100 攻撃力：50 防御力：80 拡散攻撃：10.0 壊耐性：5.0,獣狩りLv.1,クロコダイルセット
ギガントードの舌,レア,シークレットトンネル,,防御力：80 吸収：1.0 突威力：10.0 固定ダメージ：5.0 最低命中率：1.0,,丸呑みセット
救命用浮き輪,レア,竜巻諸島,,防御力：20 水耐性：40.0 風耐性：-40.0 拡散耐性：15.0 即死耐性：20.0,［上限］水耐性Lv.4,
小悪魔の尻尾,レア,マグマストリーム,,防御力：80 即死攻撃：3.0 火威力：10.0 アイテムDROP率：2.0,,天使と小悪魔セット
アラームベルト,レア,無明の最深層,,HP：100 防御力：100 回避：200 敵対：150.0,危機一髪 アラーム,
毒ガエルの舌,ユニーク,黒霧の沼地,,HP：50 防御力：15 毒威力：0.8 毒耐性：20.0,,丸呑みセット
サラマンダーベルト,ユニーク,四大精霊の塔,,防御力：70 魔防：70 火耐性：10.0 竜特攻：10.0,［変換］火威力10%⇒［倍率］魔防,
テレムのウエストポーチ,ユニーク,コロシアム・本戦準決勝,,HP：200 行動速度：-200 解錠：20.0 自然回復：1.0 アイテムDROP率：2.0,瓶投げ ［PT］DROP率+10,
カメレオンの巻舌,ユニーク,スチームウォール,,防御力：80 人型特攻：5.0 魔獣特攻：5.0 沈黙耐性：30.0 最低命中率：1.0,保護色,丸呑みセット
亡者の鎖,ユニーク,燃える大海,,魔力：70 自然回復：-3.0 火威力：10.0 呪い耐性：-20.0,地獄送り ［HP消費］火Lv.1,
免許皆伝の黒帯,ユニーク,ドワーフの試練遺跡,,攻撃力：50 命中：50 攻撃回数：1 格闘：1.0 格闘発動率：3.0,免許皆伝,
窮鼠の尻尾,ユニーク,地底大水脈,,攻撃力：30 回避：100 解錠：50.0 敵対：-150.0 致命打率：5.0 致命打威力：10.0 即死攻撃：3.0 物理回避率：1.0,デッドライン 窮鼠,
チャンピオンベルト,アーティファクト,監獄迷宮,,HP：-300 攻撃力：200 命中：300 攻撃回数：2 格闘：1.0 人型特攻：5.0 悪魔特攻：5.0 竜特攻：5.0 不死特攻：5.0 魔獣特攻：5.0 幻神特攻：5.0 機械特攻：5.0 壊耐性：10.0 アイテムDROP率：1.5 反撃発動率：3.0 格闘発動率：3.0,,デスペラードセット
パラドックスカラー,アーティファクト,猟犬座,,攻撃力：100 防御力：50 命中：500 行動速度：200 石化攻撃：50.0 石化耐性：-50.0 最低命中率：1.0,無限の追跡,
