名称,ランク,ドロップ,属性,基本性能,スキル,備考
ブレイド,ノーマル,,斬,攻撃力：37 攻撃回数：-4,,
ハンターブレイド,ノーマル,,斬,攻撃力：60 攻撃回数：-4,,
ブロンズブレイド,ノーマル,,斬,攻撃力：90 攻撃回数：-4,,
バトルブレイド,ノーマル,,斬,攻撃力：150 攻撃回数：-4,,
アイアンブレイド,ノーマル,,斬,攻撃力：255 攻撃回数：-4,,
デュエルブレイド,ノーマル,,斬,攻撃力：330 攻撃回数：-4,,
クルセイダーブレイド,ノーマル,,斬,攻撃力：465 攻撃回数：-4 悪魔特攻：15.0,,
ルーンブレイド,ノーマル,,斬,攻撃力：600 魔力：300 攻撃回数：-4,,
インペリアルブレイド,ノーマル,,斬,攻撃力：750 攻撃回数：-4,,
グレートソード,レア,北西の海岸線,斬,攻撃力：70 攻撃回数：-4,,
クレイモア,レア,古代の墓地,斬,攻撃力：85 攻撃回数：-4,,
無銘刀,レア,人食いの遺跡,斬,攻撃力：160 攻撃回数：-6 致命打率：30.0,,
ブラッドサッカー,レア,人食いの遺跡,斬,HP：-300 攻撃力：260 攻撃回数：-5 吸収：10.0,,吸血セット
黒曜石の大剣,レア,アキーク王宮 初代王のピラミッド,斬,攻撃力：340 攻撃回数：-7 毒攻撃：40.0,,
バスタードソード,レア,いにしえの原生林 古代図書館,斬,攻撃力：360 防御力：120 攻撃回数：-4 拡散攻撃：40.0,,
スカイスクレイパー,レア,初代王のピラミッド 魔海域北東部,斬,HP：500 攻撃力：440 攻撃回数：-12,剣圧,
長柄刀,レア,教会への裏参道 地下水路 歯車の遺跡,斬,攻撃力：550 回避：-400 行動速度：-400 攻撃回数：-10,,
ソルトファーマーホー,レア,コロシアム・本戦第一試合,壊,HP：200 攻撃力：700 攻撃回数：-5 拡散攻撃：30.0 睡眠耐性：20.0,,
珊瑚の大剣,レア,渦潮の近道,斬,HP：400 攻撃力：1000 攻撃回数：-5 水耐性：15.0 オプション付与率：2.0 固定ダメージ：40.0,,
海割りの剣,レア,抜け落ちた海 雷竜座,斬,攻撃力：1000 貫通攻撃：20.0 魔獣特攻：20.0 最低命中率：1.0,,
竜巻の大剣,レア,竜巻諸島,斬,攻撃力：850 魔力：300 攻撃回数：-3 拡散攻撃：30.0 風威力：15.0 風耐性：10.0,［発動］トルネード ［突風］攻撃力+15%,竜巻セット
ピンチヒッター,レア,禁足の風穴,斬,攻撃力：900 命中：300 攻撃回数：-15,ピンチヒッター,
寡黙の剣,レア,ドワーフの試練遺跡,斬,攻撃力：1100 命中：200 攻撃回数：-5 致命打率：20.0 致命打威力：30.0 沈黙攻撃：50.0 沈黙耐性：-50.0,寡黙な仕事人 ［状態］沈黙,
ハイボルテージブレイド,レア,いかずち大海溝,斬,攻撃力：900 魔力：900 行動速度：300 雷威力：25.0 雷耐性：20.0,ハイボルテージ ［上限］怒りカウントLv.1 ［落雷］攻撃力+15%,
アイアンメイデン,レア,星崩しの古塔,壊,攻撃力：1000 命中：500 行動速度：-500 吸収：3.0 壊威力：20.0 壊耐性：20.0 狂化耐性：-20.0,捕食,
スクイッドテンタクル,ユニーク,魔海域北東部,斬,攻撃力：150 命中：600 攻撃回数：10 麻痺攻撃：70.0 拡散攻撃：60.0 最低命中率：3.0,,
