名称,ランク,ドロップ,属性,基本性能,スキル,備考
カエルのぬるぬる,レア,地下水路 歯車の遺跡 シークレットトンネル,,命中：-100 回避：120 斬耐性：10.0 突耐性：10.0 水耐性：15.0,,オイルセット
ストームホルダー,レア,魔海域南端,,攻撃力：100 魔力：100 命中：100 拡散攻撃：15.0 風威力：10.0 風耐性：15.0,,突風セット
タイフーンホルダー,レア,魔海域南端 吟遊詩人ヒュルドの識界 禁足の風穴,,魔力：150 混乱攻撃：20.0 貫通攻撃：15.0 風威力：10.0 風耐性：15.0,,突風セット 竜巻セット
ソルトボトル,レア,コロシアム・本戦第一試合,,HP：200 戦闘後全体回復：8.0,,
ウォータードレイクハート,レア,コロシアム・予選,,HP：200 水威力：10.0 ブレス威力：10.0 水耐性：10.0,ウォーターブレス,
シェイプシフターの小瓶,レア,機械トロッコ坑道,,魔力：80 斬耐性：5.0 突耐性：5.0 壊耐性：5.0 アイテムDROP率：1.0 オプション付与率：1.0,［サモン］レアメタルミミック,
海蛇の毒壺,レア,海蛇座,,HP：-1000 自然回復：-2.0 毒攻撃：40.0 毒威力：2.0 水耐性：15.0 毒耐性：-25.0,ヒュドラの毒血 ［状態］毒 毒攻撃Lv.5 猛毒Lv.5,
ドワーフのスキットル,レア,奇跡の源泉,,攻撃力：100 自然回復：1.0 オプション付与率：1.0 反撃発動率：2.0 格闘発動率：2.0,ドワーフの謎の酒,
クラーケンのぬめぬめ,レア,奇跡の源泉,,突耐性：10.0 壊耐性：10.0 水耐性：10.0 オプション付与率：1.0 最低命中率：-2.0 物理回避率：1.0 魔法回避率：1.0 ブレス回避率：1.0,,
いかずちの壺,レア,いかずち大海溝,,魔力：120 魔防：100 雷威力：10.0 斬耐性：10.0 雷耐性：10.0,［落雷］継続ターン+1,いかずちセット
美少年の水瓶,レア,水瓶座,,魔力：160 オプション付与率：2.0 物理ブロック率：5.0 潜在性：10.0,白の契約 ブレッシング 状態異常耐性Lv.3,精力セット
ミノタウロスミルク,ユニーク,奇跡の源泉,,攻撃力：150 防御力：150 自然回復：1.0 斬耐性：5.0 突耐性：5.0 壊耐性：5.0,ミルク飲み,
欲竜血の雫,ユニーク,暴かれた金鉱脈,,防御力：100 敵対：50.0 毒攻撃：20.0 暗闇攻撃：20.0 毒威力：1.0 即死耐性：25.0 呪い耐性：-25.0 アイテムDROP率：2.0,［瘴気］魔防+15%,ファフニールセット
ヘファエの特製薬瓶,ユニーク,隠し砦ラスタルファ,,HP：150 魔力：100 自然回復：1.0 毒耐性：-10.0 狂化耐性：-10.0,ヘファエの特製薬,
シャトー・フイユルージュ,ユニーク,,,魔力：100 魔防：100 回避：100 オプション付与率：2.0,,
奇跡の温泉水,アーティファクト,奇跡の源泉,,HP：200 防御力：100 魔防：100 自然回復：2.0 アイテムDROP率：2.0 オプション付与率：2.0,奇跡の温泉水 身体異常耐性Lv.2,
ネクタール,アーティファクト,水瓶座,,HP：600 敵対：200.0 即死耐性：20.0 毒耐性：20.0 麻痺耐性：20.0 睡眠耐性：20.0 呪い耐性：20.0 混乱耐性：20.0 沈黙耐性：20.0 暗闇耐性：20.0 停止耐性：20.0 屍耐性：20.0 石化耐性：20.0 狂化耐性：20.0,状態異常耐性Lv.5 ［倍率］HP+30%,精力セット
