名称,ランク,ドロップ,属性,基本性能,スキル,備考
ショートボウ,ノーマル,,突,攻撃力：20 命中：20 攻撃回数：2,,
ハンターボウ,ノーマル,,突,攻撃力：32 命中：32 攻撃回数：2,,
ブロンズボウ,ノーマル,,突,攻撃力：48 命中：48 攻撃回数：2,,
バトルボウ,ノーマル,,突,攻撃力：80 命中：80 攻撃回数：2,,
アイアンボウ,ノーマル,,突,攻撃力：136 命中：136 攻撃回数：2,,
デュエルボウ,ノーマル,,突,攻撃力：176 命中：176 攻撃回数：2,,
クルセイダーボウ,ノーマル,,突,攻撃力：248 命中：248 攻撃回数：2 悪魔特攻：15.0,,
ルーンボウ,ノーマル,,突,攻撃力：320 魔力：162 命中：320 攻撃回数：2,,
インペリアルボウ,ノーマル,,突,攻撃力：400 命中：400 攻撃回数：2,,
クロスボウ,レア,北西の海岸線 コロシアム・本戦第二試合 忘らるる金塊船,突,攻撃力：26 命中：24 攻撃回数：2 最低命中率：1.0,,
銀の弓矢,レア,風竜の爪痕,突,攻撃力：60 命中：40 攻撃回数：2 悪魔特攻：30.0 不死特攻：40.0,,
ウインドボウ,レア,風竜の爪痕,突,攻撃力：60 命中：80 攻撃回数：2 風威力：20.0 風耐性：10.0,,
コンポジットボウ,レア,亜熱帯の草原,突,攻撃力：90 命中：60 攻撃回数：2 貫通攻撃：40.0,,
ライトニングボウ,レア,香辛料の町ペペリ,突,攻撃力：80 命中：60 攻撃回数：2 雷威力：20.0,,
ウイングボウ,レア,アキーク砂漠,突,攻撃力：90 命中：80 攻撃回数：3 風威力：30.0,,
シージボウ,レア,初代王のピラミッド シークレットトンネル,突,攻撃力：130 命中：50 攻撃回数：2 貫通攻撃：30.0,,
フィーバーストライク,レア,黙示録教団の大聖堂,突,攻撃力：77 命中：77 攻撃回数：7 致命打率：77.0 致命打威力：7.0 アイテムDROP率：0.7 オプション付与率：0.7 固定ダメージ：7.0,,
ワイバーンウイング,レア,四大精霊の塔,突,HP：140 攻撃力：340 命中：360 攻撃回数：3 竜特攻：25.0 風耐性：15.0,,
ストーンボウ,レア,賢者ゼインの識界 四大精霊の塔,壊,攻撃力：400 防御力：150 命中：200 回避：-300 行動速度：-300 攻撃回数：-7 混乱攻撃：10.0 石化攻撃：20.0 多段攻撃：-60.0 壊威力：10.0,,
夢見の弓矢,レア,星拾いの珊瑚島,突,攻撃力：10 命中：300 攻撃回数：5 睡眠攻撃：50.0 アイテムDROP率：3.0,,
シンギングボウ,レア,海底神殿,突,攻撃力：330 攻撃回数：4 睡眠攻撃：30.0 ブレス威力：20.0,,
小魚の釣竿,レア,ソルトルート 約束された凪,突,攻撃力：1 アイテムDROP率：3.0,,
珊瑚の弓,レア,渦潮の近道,突,攻撃力：350 魔力：350 攻撃回数：3 貫通攻撃：50.0 水耐性：25.0 固定ダメージ：20.0,水中呼吸,
アジュールボウ,レア,海上騎士団管轄海域,突,攻撃力：400 攻撃回数：4 獲得経験値：10.0 貫通攻撃：20.0 最低命中率：1.0,,
歯車の古代弓,レア,監獄島の港,突,攻撃力：250 攻撃回数：3 多段攻撃：35.0 人型特攻：20.0 悪魔特攻：20.0 雷耐性：-20.0,,
名手のクロスボウ,レア,忘らるる金塊船,突,攻撃力：400 命中：300 攻撃回数：2 固定ダメージ：30.0 最低命中率：2.0 支援発動率：4.0,支援体勢,
磔刑のクロスボウ,レア,贖罪の双子塔,突,攻撃力：280 魔力：180 命中：250 攻撃回数：4 麻痺攻撃：30.0 停止攻撃：30.0 支援発動率：5.0,,
屍滅の弓矢,レア,古代の水葬場,突,攻撃力：550 魔力：550 命中：550 攻撃回数：2 不死特攻：25.0,［回避率無視］不死,
砂鷲の翼骨弓,ユニーク,アキーク砂漠,突,攻撃力：210 命中：140 行動速度：90 致命打率：20.0 致命打威力：30.0 多段攻撃：35.0,,
ケンタウロスボウ,ユニーク,ユニコーンフォレスト,突,HP：120 攻撃力：230 命中：180 行動速度：100 攻撃回数：2 貫通攻撃：30.0,,森の導きセット
オクトパスインカー,ユニーク,群青商港,突,攻撃力：400 攻撃回数：8 暗闇攻撃：30.0,暗闇攻撃Lv.2,
トサカ弓,ユニーク,コロシアム・予選,突,攻撃力：620 命中：200 攻撃回数：1 致命打率：40.0 致命打威力：25.0 最低命中率：2.0,,
クローリクの極小弓,ユニーク,コロシアム・本戦第二試合 罪人たちの楽園,突,攻撃力：200 命中：240 回避：200 行動速度：150 攻撃回数：4 致命打率：40.0 即死攻撃：5.0 支援発動率：3.0,暗殺 即死攻撃Lv.1,
ドラゴンシューター,ユニーク,コロシアム・本戦準決勝,突,攻撃力：520 攻撃回数：3 致命打率：40.0 竜特攻：30.0 ブレス威力：15.0 雷耐性：15.0 最低命中率：2.0 支援発動率：2.0,竜狩りLv.1,
ブラックウィドウ,ユニーク,シークレットトンネル,突,攻撃力：240 攻撃回数：3 致命打威力：10.0 毒攻撃：40.0 毒威力：2.0 最低命中率：2.0,［回避率無視］毒状態,
