名称,ランク,ドロップ,属性,基本性能,スキル,備考
ダガー,ノーマル,,斬,攻撃力：20 攻撃回数：3 致命打率：10.0 多段攻撃：10.0,,
ハンターダガー,ノーマル,,斬,攻撃力：32 攻撃回数：3 致命打率：12.0 多段攻撃：12.0,,
ブロンズダガー,ノーマル,,斬,攻撃力：48 攻撃回数：3 致命打率：14.0 多段攻撃：14.0,,
バトルダガー,ノーマル,,斬,攻撃力：80 攻撃回数：3 致命打率：16.0 多段攻撃：16.0,,
アイアンダガー,ノーマル,,斬,攻撃力：136 攻撃回数：3 致命打率：18.0 多段攻撃：18.0,,
デュエルダガー,ノーマル,,斬,攻撃力：176 攻撃回数：3 致命打率：20.0 多段攻撃：20.0,,
クルセイダーダガー,ノーマル,,斬,攻撃力：248 攻撃回数：3 致命打率：22.0 多段攻撃：22.0 悪魔特攻：15.0,,
ルーンダガー,ノーマル,,斬,攻撃力：320 魔力：160 攻撃回数：3 致命打率：24.0 多段攻撃：24.0,,
インペリアルダガー,ノーマル,,斬,攻撃力：400 攻撃回数：3 致命打率：24.0 多段攻撃：24.0,,
毒針,レア,風竜の爪痕 コロシアム・本戦第二試合 地竜の森,突,攻撃力：10 命中：70 攻撃回数：5 毒攻撃：90.0 多段攻撃：20.0 固定ダメージ：10.0,毒針,
ダーク,レア,風竜の爪痕,斬,攻撃力：55 攻撃回数：3 解錠：20.0 致命打率：25.0 多段攻撃：20.0,,旅人セット
ウルフファング,レア,亜熱帯の草原,斬,攻撃力：85 攻撃回数：4 致命打率：20.0 多段攻撃：25.0,,
焼きごて,レア,香辛料の町ペペリ 消えずの灯台 No.13 贖罪の双子塔,突,攻撃力：70 攻撃回数：3 多段攻撃：40.0 火威力：10.0 火耐性：10.0 反撃発動率：1.0,,復讐セット
アサシンダガー,レア,天地逆転ピラミッド 魔法都市ゼイン マグマストリーム,斬,攻撃力：165 回避：100 攻撃回数：3 敵対：-50.0 致命打率：30.0 多段攻撃：20.0 即死攻撃：10.0 人型特攻：60.0 反撃無効化率：15.0,,暗殺者セット
ブラックナイフ,レア,天地逆転ピラミッド 魔法都市ゼイン,斬,攻撃力：190 攻撃回数：4 致命打率：35.0 多段攻撃：30.0 暗闇耐性：10.0 夜間命中：8.0,,
クリス,レア,古代図書館,斬,攻撃力：230 魔力：200 攻撃回数：3 致命打率：30.0 多段攻撃：30.0 オプション付与率：1.0,,
水鏡の短剣,レア,渦潮の近道,斬,攻撃力：250 攻撃回数：4 致命打率：40.0 悪魔特攻：20.0 不死特攻：20.0,,
熱せられた毒針,レア,アジーナル平野,突,攻撃力：20 攻撃回数：5 毒攻撃：90.0 多段攻撃：45.0 火威力：35.0 火耐性：25.0 固定ダメージ：20.0,毒針,
チンクエディア,レア,地下水路,斬,攻撃力：300 攻撃回数：2 致命打率：30.0 貫通攻撃：30.0,,
ガビアルナイフ,レア,インサイドビーチ,斬,攻撃力：300 命中：150 攻撃回数：3 致命打率：40.0 多段攻撃：25.0 魔獣特攻：25.0 水耐性：10.0,,
鮫歯のナイフ,レア,魔海域北東部,斬,攻撃力：450 命中：180 攻撃回数：4 致命打率：20.0 致命打威力：10.0 多段攻撃：50.0 固定ダメージ：70.0,鮫歯,
