名称,ランク,ドロップ,属性,基本性能,スキル,備考
トリガーパラライザー,レア,プリズナーズライン,突,攻撃力：1000 命中：300 攻撃回数：-10 毒攻撃：40.0 麻痺攻撃：40.0 貫通攻撃：15.0 固定ダメージ：200.0,オーバーヒートLv.3,
旧式ハンドガン,レア,隠し砦ラスタルファ,突,攻撃力：600 命中：400 攻撃回数：2 魔獣特攻：20.0,オーバーヒートLv.1,
ぬるぬる銃,レア,機械トロッコ坑道 機械技師ヴァーニアの識界,突,攻撃力：400 命中：-200 斬耐性：10.0 突耐性：10.0 火耐性：-50.0 水耐性：15.0,［発動］オイル オーバーヒートLv.1 ［反動25%］火Lv.5,
マッドマシンガン,レア,機工都市アルマニア ワールズエンドクレーター,壊,攻撃力：400 魔力：400 命中：500 攻撃回数：5 混乱攻撃：50.0 暗闇攻撃：50.0 多段攻撃：30.0,［発動］泥まみれ オーバーヒートLv.2,
インターセプター,レア,機工都市アルマニア,突,攻撃力：600 命中：500 攻撃回数：4 反撃発動率：5.0 支援発動率：3.0,インターセプト オーバーヒートLv.2,
改造釘打機,レア,ドワーフの試練遺跡,突,攻撃力：600 命中：400 貫通攻撃：30.0 多段攻撃：30.0 固定ダメージ：70.0,オーバーヒートLv.2,
コカトリスの狩猟銃,レア,暴かれた金鉱脈,突,攻撃力：500 命中：500 石化攻撃：50.0 魔獣特攻：25.0 最低命中率：1.0,［発動］石化睨み オーバーヒートLv.2,
焼夷火炎砲,ユニーク,禁足の風穴 機械技師ヴァーニアの識界,火,魔力：1200 命中：200 行動速度：-800 火威力：20.0 水耐性：-20.0 雷耐性：-20.0,ファイアーブレス オーバーヒートLv.3 ［無力］物理属性 ［短縮］ブレスクールダウンLv.2 ［短縮］火属性クールダウンLv.1,
トーピードバレット,ユニーク,燃える大海,突,攻撃力：400 命中：600 攻撃回数：5 固定ダメージ：50.0 最低命中率：5.0,自動追尾 オーバーヒートLv.2,
ドクターランチャー,ユニーク,奇跡の源泉,壊,攻撃力：600 魔力：400 命中：200 行動速度：-200 攻撃回数：-10 不死特攻：20.0 反撃発動率：2.0 支援発動率：2.0,ヒールショット カバーリング オーバーヒートLv.3,
雷電銃ジグランティカ,ユニーク,隠し砦ラスタルファ,突,攻撃力：1500 魔力：900 命中：700 行動速度：-500 攻撃回数：-20 貫通攻撃：30.0 機械特攻：20.0 雷威力：20.0 固定ダメージ：300.0,オーバーヒートLv.3 魔法弾丸,
風魔銃ヴァルヴェリア,ユニーク,機械技師ヴァーニアの識界,突,攻撃力：600 魔力：1000 回避：250 攻撃回数：3 拡散攻撃：50.0 風威力：25.0,オーバーヒートLv.2 魔法弾丸,
地轟銃テラ・フィオル,ユニーク,地竜の花畑,壊,HP：600 攻撃力：2000 防御力：500 魔力：500 攻撃回数：-30 拡散攻撃：40.0 壊威力：10.0 地威力：30.0,轟咆 オーバーヒートLv.4 魔法弾丸 ［反動］地Lv.4,
フルフルフルオート,ユニーク,いかずち大海溝,雷,魔力：1000 命中：300 攻撃回数：5 麻痺攻撃：25.0 雷威力：25.0 雷耐性：20.0,フルオート オーバーヒートLv.3 ［無力］物理属性 ［落雷］魔力+20%,フルフルフルセット
ラストトレジャー,アーティファクト,竜骨座,突,攻撃力：1000 命中：500 人型特攻：10.0 竜特攻：10.0 魔獣特攻：10.0 突威力：10.0 アイテムDROP率：2.0 オプション付与率：2.0 最低命中率：2.0 支援発動率：2.0 格闘発動率：2.0 再行動発動率：2.0,海賊王の大秘宝 オーバーヒートLv.1,
ジェノサイドブレス,アーティファクト,ワールズエンドクレーター,突,攻撃力：2500 魔力：1000 攻撃回数：-50 拡散攻撃：25.0 無威力：20.0 ブレス威力：40.0 支援発動率：-25.0 格闘発動率：-25.0 再行動発動率：-25.0,ジェノサイドブレス オーバーヒートLv.4 ［反動］行動不能Lv.2,
