名称,ランク,ドロップ,属性,基本性能,スキル,備考
スケイルメイル,レア,北西の海岸線 コロシアム・本戦決勝 吟遊詩人ヒュルドの識界,,防御力：14 魔防：12 行動速度：-20,,
泥まみれの鎧,レア,黒霧の沼地,,HP：50 防御力：30 魔防：30 行動速度：-100 地耐性：15.0,,作業用セット
鎖帷子,レア,水門の町カカキ ドワーフの試練遺跡,,防御力：20 魔防：17 行動速度：-40,,復讐セット
ブリガンダイン,レア,亜熱帯の草原 香辛料の町ペペリ 海底神殿,,HP：130 防御力：45 魔防：30 行動速度：-200 地耐性：20.0,,
フルプレートメイル,レア,天地逆転ピラミッド 奇跡の源泉,,防御力：110 魔防：100 行動速度：-300 斬耐性：10.0,,ウォールセット
古代樹の鎧,レア,いにしえの原生林,,HP：300 防御力：100 魔防：75 行動速度：-120 火耐性：-50.0,,森の導きセット
番兵の重鎧,レア,水門の町カカキ,,防御力：170 魔防：150 行動速度：-400 斬耐性：15.0 貫通耐性：15.0 混乱耐性：30.0,,
紫毒の竜鱗鎧,レア,アジーナル平野,,防御力：160 魔防：130 回避：-150 行動速度：-200 毒攻撃：40.0 毒威力：1.5,毒攻撃Lv.1,蝕みセット
珊瑚の鎧,レア,渦潮の近道,,防御力：230 魔防：200 行動速度：-120 火耐性：25.0 水耐性：25.0 オプション付与率：1.0,,珊瑚セット
アジュールメイル,レア,海上騎士団管轄海域,,HP：200 防御力：200 魔防：180 行動速度：-100 獲得経験値：10.0,,アジュールセット
デアデビルメイル,レア,魔海域北東部,,攻撃力：120 防御力：280 魔防：200 行動速度：-100 致命打威力：5.0 突耐性：10.0,,
アンモナイトアーマー,レア,ディープシーケイブ 無明の最深層,,防御力：300 魔防：100 行動速度：-150 斬耐性：20.0 突耐性：20.0 水耐性：20.0 地耐性：15.0 致命打率耐性：30.0,,
霧隠れの鎧,レア,スチームウォール,,防御力：50 命中：100 回避：700 行動速度：250 風耐性：10.0 最低命中率：1.0,透明 霧化,霧隠れセット
黒曜石の鎧,レア,逆流溶岩道 ドワーフの試練遺跡,,防御力：800 魔防：200 行動速度：-1000 地耐性：10.0 呪い耐性：20.0 石化耐性：-50.0 反射ダメージ：70.0,［状態］石化 ［上限］物理耐性Lv.4,
クリスタルメイル,レア,クリスタル峡谷,,防御力：300 魔力：200 魔防：500 行動速度：-120 無威力：10.0 反射ダメージ：100.0,魔法耐性Lv.4,
