名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーヘルム,ノーマル,,,防御力：4 魔防：4 致命打率耐性：10.0,,レザーセット
ハンターヘルム,ノーマル,,,防御力：6 魔防：6 魔獣特攻：5.0 致命打率耐性：10.0,,ハンターセット
ブロンズヘルム,ノーマル,,,防御力：15 魔防：10 致命打率耐性：10.0,,ブロンズセット
バトルヘルム,ノーマル,,,防御力：20 魔防：20 致命打率耐性：10.0,,バトルセット
アイアンヘルム,ノーマル,,,防御力：30 魔防：30 致命打率耐性：10.0,,アイアンセット
デュエルヘルム,ノーマル,,,防御力：40 魔防：40 致命打率耐性：10.0,,デュエルセット
クルセイダーヘルム,ノーマル,,,HP：80 防御力：50 魔防：50 悪魔特攻：10.0 致命打率耐性：10.0,,クルセイダーセット
ルーンヘルム,ノーマル,,,防御力：70 魔防：90 致命打率耐性：5.0,,ルーンセット
インペリアルヘルム,ノーマル,,,防御力：100 魔防：100 機械特攻：5.0 致命打率耐性：10.0,,インペリアルセット
バイザー,レア,修練の洞窟 ゴブリンの洞窟,,防御力：8 魔防：5,,作業用セット
ボーンヘルム,レア,古代の墓地 マグマストリーム,,HP：20 防御力：20 魔防：15,,ボーンセット 呪いセット
ラージヘルム,レア,水門の町カカキ 黒霧の沼地,,防御力：30 命中：-30,,ウォールセット
ヘッドギア,レア,亜熱帯の草原,,防御力：20 貫通耐性：15.0,,
複眼レンズ,レア,ウィンドリア高原,,命中：250 最低命中率：1.0,最低命中率Lv.3 ［倍率］命中+20%,
信者の覆面,レア,魔法都市ゼイン 黙示録教団の大聖堂 コロシアム・本戦第二試合,,防御力：40 睡眠耐性：50.0 混乱耐性：50.0 狂化耐性：50.0,,
アカデミックキャップ,レア,裏門 ゼイン魔法アカデミー コロシアム・本戦第二試合,,防御力：40 魔力：60 魔防：30 獲得経験値：15.0,,アカデミックセット
フルフェイスヘルム,レア,歯車の遺跡 古代図書館 黒鯨の巣 贖罪の双子塔 マグマストリーム,,防御力：70 回避：-100 攻撃回数：-5 壊耐性：10.0 貫通耐性：15.0,,
校長のとんがり帽子,レア,ゼイン魔法アカデミー コロシアム・本戦決勝,,防御力：60 魔力：80 魔防：45,,プリンシパルセット
フレイムサークレット,レア,賢者ゼインの識界 四大精霊の塔 地獄の門,,防御力：70 魔防：85 自然回復：1.0 火耐性：10.0 暗闇耐性：15.0,［変換］火威力5%⇒［倍率］魔力,
鍛冶屋の帽子,レア,四大精霊の塔,,防御力：80 魔防：30 機械特攻：10.0 睡眠耐性：20.0 アイテムDROP率：2.5,,
オクトパスヘッドギア,レア,群青商港,,防御力：80 魔防：50 吸収：2.0 水耐性：15.0 拡散耐性：30.0,,オクトパスセット
ハーピィの羽根冠,レア,シーハーピィの狩猟場 吟遊詩人ヒュルドの識界,,防御力：50 魔防：100 混乱攻撃：30.0 風耐性：15.0,,
海賊のバンダナ,レア,パイレーツデッドシップ プリズナーズライン,,HP：50 防御力：60 水威力：10.0 水耐性：10.0 アイテムDROP率：1.0,,パイレーツセット
クロコダイルレザーヘルム,レア,インサイドビーチ,,攻撃力：100 防御力：120 魔防：70 壊耐性：15.0 水耐性：10.0,,クロコダイルセット
アジュールヘルム,レア,海上騎士団管轄海域,,防御力：80 魔防：80 斬耐性：5.0 混乱耐性：20.0,,アジュールセット
クラゲ帽子,レア,渦潮の近道,,防御力：70 魔防：80 命中：150 暗闇耐性：30.0 夜間命中：20.0,,
バイソンの角兜,レア,コロシアム・模擬剣闘 約束された凪,,攻撃力：70 防御力：120 魔防：80 魔獣特攻：10.0 突威力：10.0 壊耐性：10.0,,
アイアンバイザー,レア,コロシアム・予選 逆流溶岩道 機械トロッコ坑道 機械技師ヴァーニアの識界,,防御力：170 魔防：100 回避：-200 斬耐性：10.0 壊耐性：10.0 突耐性：10.0 即死耐性：20.0,,
アグリーヘルム,レア,ディープシーケイブ,,防御力：120 魔防：100 敵対：150 魔獣特攻：10.0 壊威力：5.0,,
パラサイトヘルム,レア,プリズナーズライン,,HP：-400 防御力：100 魔力：100 魔防：70 自然回復：-4.0 睡眠耐性：20.0 潜在性：8.0,［状態］毒 ［状態］麻痺 ［状態］停止,
人喰犬の革帽子,レア,監獄迷宮,,攻撃力：50 防御力：70 魔防：70 敵対：50.0 人型特攻：10.0 火耐性：-15.0 反撃発動率：2.0,,
看守の制帽,レア,監獄島の港,,防御力：80 魔防：80 呪い耐性：15.0 暗闇耐性：15.0 反撃無効化率：10.0,,看守セット
獄鯨の頭蓋骨,レア,マグマストリーム,,HP：-500 防御力：120 魔力：100 魔防：100 呪い攻撃：15.0 屍攻撃：15.0 無威力：5.0,地獄への誘い ［変換］屍攻撃4%⇒［倍率］魔力,道連れセット
グリムヘルム,レア,死神座,,防御力：200 魔力：150 魔防：160 貫通耐性：15.0 睡眠耐性：20.0,［状態］呪い,グリムセット
ダークネスヘルム,レア,地底大水脈,,防御力：100 魔防：100 壊耐性：10.0 即死耐性：10.0 最低命中率：1.5 物理回避率：1.0,［状態］暗闇 ［先制］集中カウントLv.2,
マグマヘルム,レア,燃える大海,,攻撃力：50 防御力：80 魔防：150 命中：-150 火威力：5.0 火耐性：10.0 水耐性：-10.0,ヒートアップ,マグマセット
トラップファインダー,レア,機工都市アルマニア,,防御力：60 解錠：100.0 アイテムDROP率：1.5,危機感知,
滅毒鉱のマスク,レア,機工都市アルマニア,,防御力：50 魔防：50 自然回復：-2.0,［無効］毒,
パーンの花冠,レア,山羊座,,防御力：30 魔力：100 魔防：120 回避：150 混乱攻撃：30.0 ブレス回避率：2.0,状態異常耐性Lv.2,
ベッドロックヘッド,レア,無明の最深層,,攻撃力：80 防御力：250 突耐性：10.0 壊耐性：10.0 致命打率耐性：10.0 石化耐性：20.0 固定ダメージ：20.0,石頭,
三等星の占星兜,レア,フイユルージュワイナリー 占星帝国ガガリオン,,防御力：110 魔力：100 魔防：110 命中：100 獲得経験値：10.0 風耐性：10.0,,占星騎士セット
フルフルフルフェイス,レア,いかずち大海溝,,防御力：150 魔力：150 魔防：150 麻痺攻撃：15.0 雷威力：15.0 雷耐性：10.0 潜在性：10.0,強制集中 ［HP消費］雷Lv.2,フルフルフルセット
ファンガスヘッド,ユニーク,人食いの遺跡,,防御力：10 毒攻撃：30.0 火耐性：-20.0 毒耐性：50.0,,
サンドハット,ユニーク,アキーク大砂丘 アキーク王宮,,防御力：40 斬耐性：10.0 突耐性：10.0 水耐性：-50.0 地耐性：15.0,［雨］防御力-30% ［砂嵐］防御力+20%,
デュラハンヘルム,ユニーク,天地逆転ピラミッド,,HP：-100 防御力：80 魔防：80 壊耐性：15.0,,デュラハンセット 真・デュラハンセット
キングトードの王冠,ユニーク,地下水路,,HP：70 防御力：60 アイテムDROP率：1.0 オプション付与率：0.5,,
ゼラチンヘッドギア,ユニーク,地下水路 歯車の遺跡 渦潮の近道,,防御力：30 斬耐性：20.0 拡散耐性：20.0 即死耐性：25.0,,
沈黙する頭蓋骨,ユニーク,アジーナル平野 忘らるる金塊船,,沈黙耐性：-50.0 オプション付与率：2.0,［状態］沈黙,
デーモンヘルム,ユニーク,黙示録教団の大聖堂 コロシアム・本戦決勝,,防御力：80 魔力：75 魔防：80 地耐性：15.0 呪い耐性：-20.0,,デーモンセット
パイレーツキャプテンハット,ユニーク,パイレーツデッドシップ,,攻撃力：60 防御力：100 魔防：100 斬威力：10.0 水耐性：15.0 アイテムDROP率：3.0,,
竜追いの白バンダナ,ユニーク,コロシアム・本戦準決勝,,防御力：50 魔防：120 竜特攻：15.0 雷耐性：20.0,,竜追いセット
人魚のティアラ,ユニーク,星拾いの珊瑚島,,防御力：30 魔防：100 回避：150 獲得経験値：10.0 混乱耐性：25.0 オプション付与率：1.0,魅了 水中呼吸,
デルコマイフェイス,ユニーク,コロシアム・本戦決勝 吟遊詩人ヒュルドの識界,,攻撃力：80 防御力：150 魔防：120 命中：200 竜特攻：10.0 斬威力：10.0 最低命中率：1.5,,
ガーゴイルの兜,ユニーク,消えずの灯台 No.13,,防御力：140 魔防：100 突威力：15.0 固定ダメージ：15.0,,ガーゴイルセット
珊瑚の王冠,ユニーク,渦潮の近道,,HP：300 防御力：100 魔防：120 水耐性：10.0 アイテムDROP率：2.0 固定ダメージ：5.0,,
天使の輪,ユニーク,海底神殿 贖罪の双子塔 魚座,,防御力：50 魔防：170 即死耐性：50.0 混乱耐性：15.0 アイテムDROP率：2.0 オプション付与率：1.0,,天使と小悪魔セット
雷竜の兜,ユニーク,抜け落ちた海 雷竜座,,防御力：180 魔防：180 回避：200 行動速度：100 致命打率：10.0 致命打威力：10.0 雷威力：10.0 雷耐性：15.0 睡眠耐性：15.0,,雷竜セット
魔導師士官候補生の猿轡,ユニーク,ゼイン魔法アカデミー,,魔力：50 魔防：80 沈黙耐性：-50.0 オプション付与率：1.0,無詠唱 ［状態］沈黙,拘束セット
ウンディーネティアラ,ユニーク,四大精霊の塔,,防御力：20 魔防：120 水威力：8.0 水耐性：15.0 アイテムDROP率：1.5,［雨］魔力+5% ［雨］命中+5%,
吟遊詩人の羽根帽子,ユニーク,吟遊詩人ヒュルドの識界,,防御力：80 魔力：120 魔防：130 回避：200 戦闘後全体回復：3.0 睡眠攻撃：10.0 ブレス威力：5.0 風耐性：10.0 ブレス回避率：2.0,,愛セット
古代の単眼鏡,ユニーク,忘らるる金塊船,,防御力：20 魔力：120 魔防：80 命中：200 機械特攻：5.0 オプション付与率：1.0,,
優勝者の冠,ユニーク,コロシアム・本戦決勝,,HP：300 防御力：150 魔防：150 命中：150 アイテムDROP率：2.0 オプション付与率：2.0,魔法耐性Lv.1,
ゴルベの破戒帽,ユニーク,罪人たちの楽園,,防御力：80 魔力：100 魔防：150 呪い攻撃：10.0 水耐性：15.0,［変換］呪い攻撃5%⇒［倍率］魔防 ［変換］屍攻撃5%⇒［倍率］防御力,
ブロッブヘッドギア,ユニーク,逆流溶岩道,,防御力：150 壊耐性：10.0 貫通耐性：20.0 拡散耐性：20.0 即死耐性：25.0,ダイラタンシー,
海獣の王冠,ユニーク,竜巻諸島,,HP：300 攻撃力：100 防御力：100 魔防：100 自然回復：2.0 拡散攻撃：5.0 水耐性：15.0 オプション付与率：1.0,威風堂々,海獣王セット
スキュラの帽子,ユニーク,魔海域南端,,防御力：80 魔力：100 魔防：125 ブレス威力：10.0 沈黙耐性：15.0 オプション付与率：1.0,,
イフリートサレット,ユニーク,地獄の門,,防御力：120 魔防：180 火威力：10.0 火耐性：10.0 オプション付与率：1.5,燃え盛る心 ［変換］火威力5%⇒［倍率］魔力,
狙撃手の単眼鏡,ユニーク,隠し砦ラスタルファ,,防御力：50 魔防：100 命中：300 機械特攻：7.0 オプション付与率：1.0 最低命中率：2.0,,狙撃手セット
のぼせずの手ぬぐい,ユニーク,奇跡の源泉,,防御力：50 魔防：50 混乱耐性：25.0 狂化耐性：25.0,［無力］怒りカウント ［×1/2］オーバーヒート,
狂気伝播の兜,ユニーク,ドワーフの試練遺跡,,攻撃力：70 防御力：150 魔防：120 自然回復：-3.0 狂化攻撃：10.0 狂化耐性：-50.0,狂気伝播,扇動セット
初代王の冠,ユニーク,初代王のピラミッド,,HP：350 防御力：180 魔防：180 地耐性：15.0 暗闇耐性：20.0 オプション付与率：1.0 反射ダメージ：100.0,［砂嵐］攻撃力+5% ［砂嵐］防御力+5%,
巌窟王の仮面,ユニーク,月影の巌窟島,,HP：150 攻撃力：100 防御力：150 魔防：150 壊耐性：10.0 麻痺耐性：10.0 石化耐性：5.0 反撃発動率：2.0,,巌窟王セット
漆黒の兜,ユニーク,篝火の鋼鉄霊廟,,防御力：150 魔防：150 人型特攻：15.0 幻神特攻：-5.0 拡散耐性：10.0 致命打率耐性：10.0 オプション付与率：1.0,,漆黒セット
ガイアの草冠,ユニーク,地竜の森,,防御力：20 魔力：150 魔防：200 自然回復：3.0 地威力：5.0 地耐性：20.0,ガイアの加護 ［上限］地耐性Lv.1,保険セット
地竜の兜,ユニーク,地竜の花畑 地竜座,,防御力：250 魔防：150 地威力：10.0 斬耐性：10.0 突耐性：10.0 壊耐性：10.0 地耐性：15.0 致命打率耐性：10.0 物理ブロック率：2.0,,地竜セット
湯猿の逃避冠,ユニーク,奇跡の源泉,,防御力：100 回避：150 自然回復：2.0 トラップ数：1.0 物理回避率：1.0 魔法回避率：1.0 ブレス回避率：1.0,［無力］ブロック ［行動制限］攻撃 ［上限］回避率Lv.4 ［変換］物理ブロック率100%⇒物理回避率 ［変換］魔法ブロック率100%⇒魔法回避率 ［変換］ブレスブロック率100%⇒ブレス回避率,
忠犬の制御兜,ユニーク,ドワーフの試練遺跡,,防御力：150 魔防：150 命中：100 混乱耐性：25.0 狂化耐性：25.0 最低命中率：1.0 支援発動率：3.0,感情抑制 精神異常耐性Lv.2,
才智の兜,ユニーク,楯座,,防御力：200 魔力：150 魔防：200 致命打率：10.0 斬耐性：10.0 致命打率耐性：30.0 混乱耐性：10.0 潜在性：10.0,［先制］集中カウントLv.1,鬼才セット
アルティマイトヘルム,ユニーク,ワールズエンドクレーター,,攻撃力：80 防御力：200 魔防：200 ブレス威力：5.0 突耐性：10.0 アイテムDROP率：1.0,,アルティマイトセット
聖騎士の兜,ユニーク,天地逆転ピラミッド,,HP：120 攻撃力：50 防御力：150 魔力：50 魔防：150 悪魔特攻：10.0 壊耐性：15.0 混乱耐性：10.0 暗闇耐性：10.0,,聖騎士セット
怒髪天の仮面,アーティファクト,いにしえの原生林,,攻撃力：200 行動速度：200 再行動発動率：1.0,バーサク 怒髪天衝 ［先制］怒りカウントLv.1,怒りセット
千里眼の冠,アーティファクト,消えずの灯台 No.13,,防御力：20 魔防：20 命中：250 アイテムDROP率：2.0 固定ダメージ：10.0 最低命中率：1.0,最低命中率Lv.3,
ドレークトリコーン,アーティファクト,忘らるる金塊船 竜骨座,,攻撃力：60 防御力：120 魔防：120 敵対：100.0 致命打率：10.0 斬威力：5.0 突威力：5.0 斬耐性5.0 水耐性：5.0 混乱耐性：15 アイテムDROP率：1.5,英雄の資質 コンダクター ［倍率］HP+10%,ドレークセット
スフィンクステリトリウム,アーティファクト,アキーク王宮,,防御力：120 魔防：90 地威力：5.0 風耐性：10.0 地耐性：10.0,［砂嵐］防御力+8% ［砂嵐］命中+12%,
九鱗兜,アーティファクト,海蛇座,,HP：300 防御力：120 魔防：100 攻撃回数：3 多段攻撃：30.0 火耐性：-30.0 水耐性：20.0 即死耐性：25.0 毒耐性：25.0 蘇生成功率：5.0,生々流転 ［倍率］HP+10% ［変換］蘇生成功率100%⇒［倍率］攻撃力,
電気羊の夢,アーティファクト,クリスタル峡谷,,防御力：100 魔力：150 魔防：200 睡眠攻撃：20.0 雷威力：15.0 雷耐性：20.0 睡眠耐性：-50.0,機械仕掛けの夢 先制眠る ［変換］睡眠耐性-11%⇒［倍率］魔力,幕開けセット
クリスタルスカル,アーティファクト,水晶座,,防御力：100 魔力：200 魔防：200 無威力：10.0 呪い耐性：20.0 反射ダメージ：150.0 反撃無効化率：5.0,属性術Lv.5,
エイギスヒャルム,アーティファクト,暴かれた金鉱脈,,HP：350 攻撃力：100 防御力：250 魔防：250 自然回復：-1.0 敵対：100.0 暗闇攻撃：25.0 斬耐性：5.0 壊耐性：5.0 突耐性：5.0 オプション付与率：2.0 支援発動率：-50.0,テラー ［無効］支援,ファフニールセット
