名称,ランク,ドロップ,属性,基本性能,スキル,備考
フレイムアイズ,レア,天地逆転ピラミッド 消えずの灯台 No.13 地獄の門,,貫通攻撃：20.0 火威力：15.0 火耐性：15.0,,三つ目セット 復讐セット
大司教の水晶球,レア,黙示録教団の大聖堂,,魔力：80 解錠：15.0 混乱耐性：25.0,,
共鳴石,レア,隠し砦ラスタルファ,,命中：200 支援発動率：1.0,連携,
アスタリスクルビー,レア,クリスタル峡谷 暴かれた金鉱脈,,攻撃力：100 火威力：15.0 火耐性：15.0 アイテムDROP率：2.0,［上限］怒りカウントLv.1,
アスタリスクサファイア,レア,クリスタル峡谷 暴かれた金鉱脈,,魔力：100 水威力：15.0 水耐性：15.0 オプション付与率：1.5,［上限］集中カウントLv.1,
ブリムストーン,レア,燃える大海,,魔力：120 自然回復：-1.0 火威力：10.0 雷威力：10.0 ブレス威力：10.0,ファイアーブレス,
アントエッグ,ユニーク,アキーク砂漠,,HP：200 自然回復：2.0 地耐性：20.0,,エッグセット
トレントの果実,ユニーク,ユニコーンフォレスト,,HP：150 防御力：200 自然回復：0.5 アイテムDROP率：1.0 固定ダメージ：10.0,,森の導きセット
オパール,ユニーク,古代図書館 暴かれた金鉱脈,,魔防：200 命中：150 呪い耐性：15.0 混乱耐性：15.0 沈黙耐性：15.0,［倍率］魔力+5%,
オニキス,ユニーク,初代王のピラミッド 天地逆転ピラミッド ユニコーンフォレスト 暴かれた金鉱脈,,防御力：200 貫通耐性：10.0 即死耐性：10.0 睡眠耐性：15.0 混乱耐性：15.0,,導きセット アキークセット
知恵のカケラ,ユニーク,古代図書館,,魔力：130 魔防：70 呪い耐性：25.0 混乱耐性：25.0 潜在性：5.0,インサイト,
オーブオブホープ,ユニーク,賢者ゼインの識界,,HP：200 自然回復：1.0 水耐性：15.0 睡眠耐性：30.0 混乱耐性：30.0,,希望セット
サードオニキス,ユニーク,天地逆転ピラミッド 暴かれた金鉱脈,,防御力：300 命中：70 貫通耐性：10.0 即死耐性：10.0 睡眠耐性：30.0 混乱耐性：30.0,,
パラライズアイズ,ユニーク,消えずの灯台 No.13,,命中：200 麻痺攻撃：50.0 最低命中率：0.5,［反撃］麻痺睨み,パラライズセット
墨紅玉,ユニーク,群青商港,,致命打率：10.0 毒攻撃：30.0 暗闇攻撃：30.0 毒威力：1.0 麻痺耐性：20.0,猛毒Lv.1,オクトパスセット
ブラッドセイバー,ユニーク,魔海域南端,,HP：300 自然回復：1.0 斬威力：10.0,ブラッドプレッジ ［倍率］HP+25%,
ジュゴンの金瞳,ユニーク,魔海域北東部,,HP：300 魔防：200 解錠：30.0 水耐性：20.0 雷耐性：20.0 即死耐性：25.0 オプション付与率：1.0,長寿,
ブリオンメダリオン,ユニーク,忘らるる金塊船,,解錠：30.0 斬耐性：5.0 水耐性：5.0 アイテムDROP率：3.0 オプション付与率：1.0 潜在性：5.0,,金塊船セット
