名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーナックル,ノーマル,,壊,攻撃力：17 攻撃回数：5 格闘：5.0,,
ハンタークロウ,ノーマル,,壊,攻撃力：28 攻撃回数：5 格闘：5.0,,
ブロンズクロウ,ノーマル,,壊,攻撃力：42 攻撃回数：5 格闘：5.0,,
バトルクロウ,ノーマル,,壊,攻撃力：70 攻撃回数：5 格闘：6.0,,
アイアンクロウ,ノーマル,,壊,攻撃力：119 攻撃回数：5 格闘：6.0,,
デュエルクロウ,ノーマル,,壊,攻撃力：154 攻撃回数：5 格闘：6.0,,
クルセイダークロウ,ノーマル,,壊,攻撃力：217 攻撃回数：5 格闘：6.0 悪魔特攻：15.0,,
ルーンクロウ,ノーマル,,壊,攻撃力：280 魔力：140 攻撃回数：5 格闘：7.0,,
インペリアルクロウ,ノーマル,,壊,攻撃力：350 攻撃回数：5 格闘：7.0,,
ハンマーナックル,レア,亜熱帯の草原 隠し砦ラスタルファ,壊,攻撃力：70 攻撃回数：5 格闘：7.0,,
スパイクナックル,レア,アキーク砂漠,壊,攻撃力：80 攻撃回数：5 致命打率：20.0 格闘：7.0,,
プリクルナックル,レア,初代王のピラミッド,壊,攻撃力：120 攻撃回数：6 多段攻撃：25.0 格闘：7.0,,
メリケンサック,レア,天地逆転ピラミッド,壊,攻撃力：120 攻撃回数：7 致命打率：30.0 格闘：7.0,,
ラプトルの鉤爪,レア,いにしえの原生林 月影の巌窟島,斬,攻撃力：200 行動速度：150 攻撃回数：5 致命打率：50.0 格闘：7.0,切り裂き,
ロックフィスト,レア,教会への裏参道 無明の最深層,壊,攻撃力：180 攻撃回数：5 拡散攻撃：30.0 格闘：10.0,,
魔術師の拳,レア,ゼイン魔法アカデミー,壊,攻撃力：200 攻撃回数：4 格闘：7.0,魔拳,
タイガーネイル,レア,コロシアム・模擬剣闘 無明の最深層,斬,攻撃力：300 命中：250 攻撃回数：5 致命打率：20.0 致命打威力：20.0 格闘：7.0 魔獣特攻：30.0 地威力：20.0,,
ヴェノムクロウ,レア,シークレットトンネル,斬,攻撃力：320 命中：250 攻撃回数：5 致命打率：15.0 致命打威力：10.0 毒攻撃：40.0 格闘：7.0 毒威力：1.0,,
咀嚼の拳,レア,ディープシーケイブ,壊,攻撃力：320 攻撃回数：3 格闘：7.0 壊威力：10.0,［発動］噛み砕く,
バルーンパンチ,レア,竜巻諸島,壊,攻撃力：30 命中：200 攻撃回数：3 致命打率：-50.0 格闘：5.0 風耐性：15.0,［発動］バルーンパンチ,
スパイラルナックル,レア,渦潮の近道,壊,攻撃力：340 命中：120 攻撃回数：3 貫通攻撃：25.0 拡散攻撃：25.0 格闘：7.0 最低命中率：2.0,,
蛭拳,レア,プリズナーズライン,壊,攻撃力：100 命中：350 攻撃回数：5 吸収：5.0 格闘：5.0 人型特攻：10.0 魔獣特攻：10.0 最低命中率：1.0,［変換］吸収100%⇒格闘発動率,
ボルカノフィスト,レア,逆流溶岩道,壊,攻撃力：350 命中：300 行動速度：200 攻撃回数：5 拡散攻撃：30.0 格闘：8.0 狂化耐性：-40.0,バーサク ［変換］狂化耐性-5%⇒［倍率］攻撃回数,
スパークラプトルの鉤爪,レア,月影の巌窟島,斬,攻撃力：350 命中：300 行動速度：250 攻撃回数：3 致命打率：20.0 致命打威力：10.0 格闘：8.0 火威力：10.0 雷威力：10.0 暗闇耐性：15.0,切り裂き,
リペアハンド,レア,機工都市アルマニア,壊,攻撃力：1 防御力：200 魔力：300 魔防：200,オートリペア,
ドワーフの機械拳,レア,ドワーフの試練遺跡,壊,攻撃力：300 命中：300 格闘：7.0 格闘発動率：2.0,弟子の意地,
ドラウンドフィスト,レア,古代の水葬場 リヴァイアサンの胃袋,壊,攻撃力：300 魔力：300 命中：300 屍攻撃：25.0 格闘：8.0 無威力：10.0 水耐性：20.0 蘇生成功率：3.0,［発動］道連れ ［水中］魔力+15%,
蟹の爪,ユニーク,北西の海岸線 蟹座,壊,HP：100 攻撃力：30 攻撃回数：5 格闘：5.0,大鋏,
カースタッチ,ユニーク,古代の墓地 無明の最深層,壊,攻撃力：70 攻撃回数：5 状態異常付与：20.0 毒攻撃：20.0 呪い攻撃：20.0 格闘：5.0,呪い攻撃Lv.2,呪いセット
マンティスシザー,ユニーク,人食いの遺跡,斬,攻撃力：80 攻撃回数：3 致命打率：30.0 格闘：5.0,,
ドレイククロウ,ユニーク,教会への裏参道,斬,攻撃力：240 攻撃回数：4 致命打率：40.0 格闘：7.0 ブレス威力：20.0 火耐性：10.0,,
オクトパスストライカー,ユニーク,群青商港,壊,攻撃力：300 命中：200 攻撃回数：8 致命打率：30.0 致命打威力：40.0 貫通攻撃：-100.0 格闘：8.0,,
混濁の右手,ユニーク,夢魔座,壊,攻撃力：350 魔力：200 攻撃回数：5 混乱攻撃：50.0 格闘：7.0 水威力：30.0 混乱耐性：50.0,,
安息の左手,ユニーク,夢魔座,壊,攻撃力：350 魔力：200 攻撃回数：5 睡眠攻撃：50.0 格闘：7.0 雷威力：30.0 睡眠耐性：50.0,,
カルキノスシザー,ユニーク,蟹座,斬,攻撃力：450 防御力：450 命中：400 攻撃回数：4 致命打率：-500.0 致命打威力：50.0 即死攻撃：5.0 格闘：10.0 幻神特攻：40.0 斬威力：5.0 水威力：5.0 格闘発動率：5.0,無謀の大鋏 シザーハンズ,
アグニルの電拳,ユニーク,隠し砦ラスタルファ,壊,HP：200 攻撃力：400 命中：300 攻撃回数：3 格闘：10.0 機械特攻：25.0 雷威力：15.0,［変換］雷威力2%⇒格闘発動率,
ベッドロックディガー,ユニーク,無明の最深層,壊,攻撃力：450 防御力：300 命中：200 石化攻撃：20.0 格闘：8.0 地耐性：15.0,石化貫通 石化破壊,
