名称,ランク,ドロップ,属性,基本性能,スキル,備考
ランス,ノーマル,,突,攻撃力：25 攻撃回数：-3 貫通攻撃：10.0,,
ハンターランス,ノーマル,,突,攻撃力：40 攻撃回数：-3 貫通攻撃：12.0,,
ブロンズランス,ノーマル,,突,攻撃力：60 攻撃回数：-3 貫通攻撃：14.0,,
バトルランス,ノーマル,,突,攻撃力：100 攻撃回数：-3 貫通攻撃：16.0,,
アイアンランス,ノーマル,,突,攻撃力：170 攻撃回数：-3 貫通攻撃：18.0,,
デュエルランス,ノーマル,,突,攻撃力：220 攻撃回数：-3 貫通攻撃：20.0,,
クルセイダーランス,ノーマル,,突,攻撃力：310 攻撃回数：-3 貫通攻撃：22.0 悪魔特攻：15.0,,
ルーンランス,ノーマル,,突,攻撃力：400 魔力：200 攻撃回数：-3 貫通攻撃：24.0,,
インペリアルランス,ノーマル,,突,攻撃力：500 攻撃回数：-3 貫通攻撃：24.0,,
グレイヴ,レア,ゴブリンの洞窟,突,攻撃力：26 攻撃回数：-3 致命打率：5.0,,
パルチザン,レア,水門の町カカキ,突,攻撃力：70 攻撃回数：-2 貫通攻撃：20.0,,
ヘヴィスピアー,レア,水門の町カカキ,突,攻撃力：80 命中：-40 攻撃回数：-6 貫通攻撃：25.0 拡散攻撃：10.0,,
アイスランス,レア,亜熱帯の草原,突,攻撃力：100 攻撃回数：-3 貫通攻撃：20.0 水威力：20.0,,
ロンパイア,レア,アキーク砂漠,斬,攻撃力：110 攻撃回数：-3 貫通攻撃：30.0,,
ベクドコルバン,レア,初代王のピラミッド,突,攻撃力：175 攻撃回数：-4 貫通攻撃：25.0,,
アールシェピース,レア,古代図書館,突,攻撃力：380 攻撃回数：2 致命打率：25.0 貫通攻撃：50.0 突威力：20.0,,
アジュールスピア,レア,海上騎士団管轄海域,突,攻撃力：470 貫通攻撃：25.0 混乱耐性：30.0 睡眠耐性：30.0,,
珊瑚の槍,レア,渦潮の近道,突,攻撃力：450 魔力：200 貫通攻撃：25.0 水耐性：10.0 アイテムDROP率：2.0,,
クラーケンハーケン,レア,魔海域北東部 奇跡の源泉,突,攻撃力：620 防御力：260 拡散攻撃：20.0 魔獣特攻：30.0 最低命中率：2.0,,
スチームジャベリン,レア,スチームウォール,突,攻撃力：700 命中：200 攻撃回数：1 貫通攻撃：40.0,［無力］魔法属性 ［変換］火威力50%⇒突威力 ［変換］水威力50%⇒突威力,
緋翠の巨槍,レア,魔海域南端,突,攻撃力：700 命中：200 攻撃回数：-3 貫通攻撃：40.0 突威力：20.0 暗闇耐性：50.0 夜間命中：30.0 アイテムDROP率：2.0,,
歯車の古代槍,レア,監獄島の港 地竜の森,突,攻撃力：650 攻撃回数：2 貫通攻撃：20.0 人型特攻：20.0 悪魔特攻：20.0 雷耐性：-20.0,,
マンキャッチャー,レア,贖罪の双子塔,突,攻撃力：50 命中：400 攻撃回数：1 麻痺攻撃：50.0 停止攻撃：50.0 人型特攻：50.0 固定ダメージ：70.0 最低命中率：5.0,［回避率無視］人型,
アシッドレイン,レア,逆流溶岩道,突,攻撃力：650 魔力：300 命中：300 攻撃回数：2 貫通攻撃：30.0 機械特攻：30.0 雷耐性：-20.0,［発動］アシッドレイン ［雨］攻撃力+8% ［雨］魔力+8%,
電槍デルタ,レア,クリスタル峡谷 機械技師ヴァーニアの識界 ワールズエンドクレーター,突,攻撃力：600 魔力：300 命中：400 麻痺攻撃：40.0 貫通攻撃：20.0 機械特攻：15.0 雷威力：10.0,,
地揺らしの槍,レア,地底大水脈,突,攻撃力：650 魔力：300 命中：300 攻撃回数：2 貫通攻撃：30.0 地威力：30.0,［発動］アースクエイク,
トリプルギアスピア,レア,暴かれた金鉱脈,突,攻撃力：600 命中：500 攻撃回数：5 貫通攻撃：30.0 多段攻撃：30.0 機械特攻：15.0,乱れ打ち,
シャドウスピア,レア,リヴァイアサンの胃袋,突,攻撃力：500 命中：500 敵対：-200.0 暗闇攻撃：25.0 夜間命中：15.0 反撃無効化率：5.0,,
エメラルドスパイラル,レア,星崩しの古塔,突,攻撃力：500 魔力：500 命中：500 攻撃回数：3 貫通攻撃：20.0 拡散攻撃：10.0 風威力：25.0 風耐性：20.0,［発動］ウインドブロー,
番兵の槍,ユニーク,水門の町カカキ,突,HP：200 攻撃力：160 防御力：100 攻撃回数：-5 貫通攻撃：40.0 拡散耐性：30.0,,
ポイズンテール,ユニーク,アキーク大砂丘,突,攻撃力：250 攻撃回数：-1 毒攻撃：50.0 貫通攻撃：40.0,,
サラマンダーテール,ユニーク,四大精霊の塔,突,HP：300 攻撃力：500 攻撃回数：2 自然回復：2.0 火耐性：25.0 暗闇耐性：25.0,,
