名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーアーマー,ノーマル,,,防御力：8 魔防：8,,レザーセット
ハンターアーマー,ノーマル,,,防御力：14 魔防：14 魔獣特攻：10.0,,ハンターセット
ブロンズアーマー,ノーマル,,,防御力：30 魔防：20,,ブロンズセット
バトルアーマー,ノーマル,,,防御力：40 魔防：40,,バトルセット
アイアンアーマー,ノーマル,,,防御力：60 魔防：60,,アイアンセット
デュエルアーマー,ノーマル,,,防御力：80 魔防：80 回避：80,,デュエルセット
クルセイダーアーマー,ノーマル,,,HP：120 防御力：120 魔防：100,,クルセイダーセット
ルーンアーマー,ノーマル,,,防御力：130 魔防：180,,ルーンセット
インペリアルアーマー,ノーマル,,,HP：150 防御力：200 魔防：200,,インペリアルセット
クロースアーマー,レア,修練の洞窟 ゴブリンの洞窟,,防御力：12 魔防：8,,
ボーンアーマー,レア,古代の墓地 アキーク大砂丘,,HP：50 防御力：35 魔防：25,,ボーンセット
占い師のローブ,レア,古代の墓地,,防御力：35 魔力：60 魔防：50 行動速度：-80 混乱耐性：25.0,,成金セット
サバイバルスーツ,レア,人食いの遺跡,,HP：80 防御力：30 魔防：25 毒耐性：20.0 麻痺耐性：20.0 蘇生成功率：7.0,,暗殺者セット
薄明りのローブ,レア,初代王のピラミッド ソルトルート,,防御力：50 魔力：70 魔防：80 行動速度：-120 呪い耐性：10.0 暗闇耐性：50.0,発光,導きセット
アカデミックガウン,レア,ゼイン魔法アカデミー コロシアム・本戦第二試合,,防御力：80 魔力：80 魔防：90 行動速度：-170 獲得経験値：15.0,,アカデミックセット
レンジャースーツ,レア,古代図書館,,防御力：110 魔防：70 回避：170 アイテムDROP率：1.0 蘇生成功率：8.0,,
校長のローブ,レア,ゼイン魔法アカデミー,,防御力：100 魔力：100 魔防：115 行動速度：-170,,プリンシパルセット
クロコダイルレザーアーマー,レア,インサイドビーチ,,防御力：230 魔防：150 致命打率：10.0 水耐性：15.0 拡散耐性：30.0,,クロコダイルセット
海賊の胸当て,レア,パイレーツデッドシップ プリズナーズライン,,攻撃力：80 防御力：150 魔防：150 回避：150 致命打威力：10.0 水耐性：10.0,,パイレーツセット
シェルアーマー,レア,シーハーピィの狩猟場,,防御力：550 魔防：200 行動速度：-300 攻撃回数：-5 貫通耐性：25.0 致命打率耐性：25.0 沈黙耐性：25.0,,
フェアリーチュニック,レア,星拾いの珊瑚島 プリズナーズライン,,防御力：100 魔防：300 回避：300 混乱攻撃：30.0 固定ダメージ：10.0,,フェアリーセット
パンサータイツ,レア,コロシアム・予選 吟遊詩人ヒュルドの識界,,防御力：50 魔防：50 回避：300 行動速度：200 致命打率：20.0,擬態,
合成幼獣の革鎧,レア,コロシアム・予選,,HP：300 防御力：220 魔防：220 ブレス威力：15.0 火耐性：15.0 水耐性：15.0 雷耐性：15.0,,
ソルトファーマーローブ,レア,コロシアム・本戦第一試合,,HP：400 防御力：200 魔防：250 自然回復：2.0 拡散攻撃：20.0 水耐性：20.0,,ソルトファーマーセット
看守の制服,レア,監獄島の港,,防御力：200 魔防：200 呪い耐性：25.0 暗闇耐性：25.0 夜間命中：10.0 反撃無効化率：20.0,,看守セット
スケープゴートの毛皮服,レア,贖罪の双子塔,,防御力：100 敵対：250.0 火耐性：-30.0 拡散耐性：50.0 アイテムDROP率：3.0 オプション付与率：2.0,スケープゴート,
天使の羽根,レア,贖罪の双子塔,,魔防：200 回避：150 自然回復：1.0 風威力：15.0 風耐性：15.0 即死耐性：30.0 オプション付与率：2.0,浮遊,天使と小悪魔セット
イルカの着ぐるみ,レア,マグマストリーム,,防御力：50 魔力：50 回避：50 混乱攻撃：20.0 ブレス威力：15.0 火耐性：10.0 水耐性：10.0,癒しのノクターン,
包帯鎧,レア,奇跡の源泉,,防御力：100 魔防：100 自然回復：5.0 致命打率耐性：20.0 即死耐性：15.0,リカバリー,
イーグルローブ,ユニーク,アキーク砂漠,,防御力：60 魔防：80 行動速度：50 風耐性：15.0 雷耐性：-20.0,［突風］行動速度+25%,ウイングセット アキークセット
亜竜の肺臓,ユニーク,北西の海岸線,,防御力：100 火耐性：20.0 水耐性：20.0 雷耐性：-25.0,亜竜の咆哮,
ブラックドレス,ユニーク,天地逆転ピラミッド,,防御力：100 魔力：100 魔防：160 行動速度：-400 即死攻撃：5.0 毒耐性：15.0 呪い耐性：15.0 暗闇耐性：15.0,［無効］逆転,
黒の羽衣,ユニーク,古代の墓地,,魔力：150 回避：200 敵対：-70.0 致命打威力：10.0 暗闇攻撃：20.0 夜間回避：20.0,,
ラミアスケイル,ユニーク,群青運河 スチームウォール,,防御力：100 魔防：120 行動速度：-70 混乱攻撃：20.0 吸収：2.0 火耐性：10.0 暗闇耐性：25.0 昼間回避：20.0 魔法回避率：2.0,,
大司教の上衣,ユニーク,黙示録教団の大聖堂,,防御力：120 魔力：200 魔防：150 沈黙耐性：50.0 オプション付与率：0.7,,
ローブオブホープ,ユニーク,賢者ゼインの識界,,HP：200 防御力：130 魔力：200 魔防：140 自然回復：3.0 水威力：15.0 水耐性：25.0 風耐性：25.0,,希望セット
金刺繍の祭服,ユニーク,丘の上の墓,,防御力：120 魔力：160 魔防：140 行動速度：-250 呪い攻撃：20.0 吸収：3.0,,トウホセット
ウンディーネドレス,ユニーク,四大精霊の塔,,HP：200 防御力：100 魔力：180 魔防：280 回避：320 水威力：10.0 水耐性：30.0,［PT］DROP率+5 ［雨］回避+15%,
リズカーレベスト,ユニーク,コロシアム・本戦準決勝,,HP：300 防御力：150 致命打率：10.0 格闘：3.0 致命打率耐性：-100.0 アイテムDROP率：2.0 固定ダメージ：10.0,ゼロサム,豪運セット
吟遊詩人の外套,ユニーク,吟遊詩人ヒュルドの識界,,防御力：150 魔力：100 魔防：250 回避：250 火耐性：20.0 水耐性：20.0 混乱耐性：25.0 オプション付与率：1.0 物理回避率：2.0,,愛セット
召喚者のローブ,ユニーク,コロシアム・本戦決勝,,防御力：150 魔力：200 魔防：220 行動速度：-150 沈黙耐性：30.0,召喚術Lv.2 ［サモン］全能力値+15%,
モイストラミアスケイル,ユニーク,スチームウォール,,防御力：120 魔力：150 魔防：200 行動速度：-80 混乱攻撃：35.0 吸収：2.0 水威力：10.0 水耐性：15.0,魅了 ［状態］屍,
ドレークベスト,ユニーク,忘らるる金塊船 竜骨座,,防御力：180 魔防：180 命中：200 吸収：1.0 斬威力：5.0 突威力：5.0 突耐性：5.0 水耐性：5.0 アイテムDROP率：2.0 最低命中率：1.0,,ドレークセット
合成獣の革鎧,ユニーク,監獄迷宮,,HP：500 防御力：300 魔防：300 回避：100 ブレス威力：10.0 火耐性：10.0 水耐性：10.0 風耐性：10.0 地耐性：10.0 雷耐性：10.0 ブレスブロック率：3.0,［上限］魔法耐性Lv.2,
ルナールの闇装束,ユニーク,罪人たちの楽園,,防御力：180 魔力：150 魔防：220 暗闇攻撃：20.0 雷威力：10.0 雷耐性：15.0 オプション付与率：1.0,［変換］混乱攻撃4%⇒［倍率］魔力 ［変換］暗闇攻撃4%⇒［倍率］魔力,
竜巻のドレス,ユニーク,竜巻諸島,,防御力：150 魔力：150 魔防：250 回避：380 風威力：15.0 風耐性：10.0 ブレス回避率：3.0,［回避時］トルネード ［突風］回避+15%,竜巻セット
機械技師の革服,ユニーク,機械技師ヴァーニアの識界,,防御力：200 魔防：200 解錠：50.0 トラップ数：2.0 機械特攻：15.0,［短縮］罠クールダウンLv.1,慈悲セット
