名称,ランク,ドロップ,属性,基本性能,スキル,備考
冒険者のマント,レア,古代の墓地,,HP：35 魔防：15 獲得経験値：10.0,,
フェザーマント,レア,風竜の爪痕 竜巻諸島,,HP：50 防御力：5 魔防：50 行動速度：40 風耐性：15.0,,ウイングセット
旅人のマント,レア,香辛料の町ペペリ,,HP：60 防御力：40 獲得経験値：15.0,,旅人セット
シャドウマント,レア,初代王のピラミッド 機械トロッコ坑道 禁足の風穴,,HP：140 防御力：30 回避：80 敵対：-50.0 反撃無効化率：3.0,,暗殺者セット
風乗りマント,レア,賢者ゼインの識界 四大精霊の塔,,HP：100 防御力：30 行動速度：100 混乱耐性：10.0,［突風］行動速度+50%,
虚栄のマント,レア,黒鯨の巣,,防御力：-200 魔防：-200 回避：300 敵対：100.0,,虚像セット
サンダーマント,レア,抜け落ちた海,,魔防：200 回避：200 雷威力：10.0 地耐性：-20.0 雷耐性：20.0,［上限］雷耐性Lv.2,
不死鳥のマント,レア,不死鳥座,,HP：250 攻撃力：70 魔防：100 火耐性：15.0 睡眠耐性：20.0,,
リトルグライダー,レア,竜巻諸島,,HP：80 行動速度：100 風耐性：15.0 地耐性：10.0,浮遊 ［突風］行動速度+30%,
ファイアーマント,レア,地獄の門,,攻撃力：100 魔防：200 火威力：10.0 火耐性：20.0 水耐性：-20.0,［上限］火耐性Lv.2,
ミントのマント,レア,地竜の森,,魔力：70 魔防：100 回避：100 敵対：-200.0,,
ストーンマント,レア,新大陸の海,,防御力：200 回避：-500 行動速度：-500 水耐性：-20.0 地耐性：20.0 石化耐性：40.0 物理ブロック率：2.0,［上限］忍耐カウントLv.1,重責セット
偽悪者のマント,ユニーク,監獄迷宮,,回避：300 敵対：150.0 吸収：2.0 狂化耐性：-30.0,偽悪者,
巌窟王のマント,ユニーク,月影の巌窟島,,HP：100 防御力：80 魔防：80 敵対：200.0 突耐性：10.0 即死耐性：10.0 石化耐性：10.0 アイテムDROP率：2.0 反撃発動率：1.0,,巌窟王セット
光のショール,ユニーク,機工都市アルマニア,,防御力：150 魔防：150 回避：200,光の障壁 物理耐性Lv.3 魔法耐性Lv.3,
もがれた翼,ユニーク,地竜の花畑,,HP：200 防御力：150 魔防：150 命中：250 回避：-500 地威力：5.0 地耐性：10.0 物理ブロック率：1.0,［無力］浮遊 ［無力］ジャンプ状態 伏竜 ［重力］攻撃力+20% ［重力］防御力+20%,
スフィンクスの羽根,アーティファクト,アキーク王宮,,HP：90 魔防：100 行動速度：170 風耐性：20.0,スフィンクスの加護,ウイングセット アキークセット
秘匿のマント,アーティファクト,いにしえの原生林 地底大水脈,,防御力：60 魔防：60 回避：120 敵対：-500.0 反撃無効化率：3.0,透明 隠れ身Lv.2,
ノブレスオブリージュ,アーティファクト,天地逆転ピラミッド,,HP：100 防御力：100 魔力：100 魔防：100 混乱耐性：30.0 暗闇耐性：30.0 狂化耐性：30.0,ノブレスオブリージュ,聖騎士セット 鬼才セット 上流セット
