名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーペンダント,ノーマル,,,魔防：20,状態異常耐性Lv.1,
ハンターペンダント,ノーマル,,,魔防：28 魔獣特攻：5.0,状態異常耐性Lv.1,
ブロンズペンダント,ノーマル,,,魔防：42 悪魔特攻：5.0 不死特攻：5.0,状態異常耐性Lv.1,
バトルペンダント,ノーマル,,,攻撃力：30 魔防：72,状態異常耐性Lv.1,
アイアンペンダント,ノーマル,,,魔防：120 致命打率：10.0,状態異常耐性Lv.1,
デュエルペンダント,ノーマル,,,攻撃力：30 魔防：160,状態異常耐性Lv.1,
クルセイダーペンダント,ノーマル,,,HP：60 防御力：40 魔防：210,状態異常耐性Lv.1,
ルーンペンダント,ノーマル,,,魔力：50 魔防：300,状態異常耐性Lv.1,
インペリアルペンダント,ノーマル,,,魔防：420 幻神特攻：10.0,状態異常耐性Lv.1,
防人の目,レア,水門の町カカキ 消えずの灯台 No.13 海底神殿 スチームウォール,,HP：50 防御力：10 命中：100 即死耐性：20.0,,三つ目セット
サードアイ,レア,アキーク砂漠,,魔防：60 命中：100,,三つ目セット
キングトードの鳴嚢,レア,地下水路,,敵対：30.0 ブレス威力：10.0,輪唱,
ラビットフット,レア,コロシアム・模擬剣闘 レッドコースト,,回避：230 行動速度：200 敵対：-200.0,［倍率］回避+15%,
薄明りのタリスマン,レア,贖罪の双子塔,,魔力：100 魔防：150 命中：200 最低命中率：2.0,発光,
ソルトクリスタル,レア,ソルトルート,,水耐性：10 アイテムDROP率：2 オプション付与率：1 HP：100,,高級塩セット
逆風のペンダント,レア,禁足の風穴,,攻撃力：80 魔防：200 風威力：5.0 風耐性：10.0,［突風］攻撃力+15% ［突風］魔力+15% ［突風］行動速度+15%,狙撃手セット
バジリスクネックレス,ユニーク,コロシアム・予選,,魔力：100 魔防：250 石化攻撃：10.0,［反撃］石化睨み,
形見の骨笛,ユニーク,コロシアム・本戦準決勝,,命中：150 獲得経験値：20.0 不死特攻：10.0 壊威力：5.0,［無効］混乱,
獄鯨の舌骨,ユニーク,マグマストリーム,,HP：-800 魔力：150 致命打威力：5.0 呪い攻撃：20.0 即死耐性：15.0 呪い耐性：15.0 暗闇耐性：15.0,［サモン］獄鯨 ［サモン］屍攻撃Lv.2,
白馬の手綱,ユニーク,天地逆転ピラミッド,,魔防：150 行動速度：400 不死特攻：30.0,,
ブラッドジュエリー,ユニーク,月影の巌窟島,,HP：-500 吸収：2.0 オプション付与率：2.0,［状態］呪い ［変換］吸収20%⇒オプション付与率,
パトリオットブローチ,ユニーク,監獄迷宮,,HP：100 命中：200 悪魔特攻：10.0 アイテムDROP率：1.0,愛国心 ［変換］悪魔特攻8%⇒［倍率］攻撃力,扇動セット
ヘイトフルクロス,ユニーク,篝火の鋼鉄霊廟,,攻撃力：50 魔力：50 無威力：5.0,ブラックスフィア,憎悪セット
希望のペンダント,アーティファクト,賢者ゼインの識界,,HP：150 魔防：200 命中：150 戦闘後全体回復：3.0 即死耐性：30.0,,希望セット
首なし馬の手綱,アーティファクト,天地逆転ピラミッド,,行動速度：250 魔獣特攻：70.0,［PT］探索時間-10%,
ディオスクーロイ,アーティファクト,双子座,,攻撃力：100 魔力：100 人型特攻：10.0 幻神特攻：10.0 突威力：10.0 壊威力：10.0 アイテムDROP率：2.0 オプション付与率：2.0 支援発動率：1.0 格闘発動率：1.0,ディオスクーロイ,
覇者のネックレス,アーティファクト,ワールズエンドクレーター,,HP：100 攻撃力：100 防御力：100 魔力：100 魔防：100 命中：100 回避：100 攻撃回数：1 無威力：10.0 ブレス威力：10.0,物理耐性Lv.2 魔法耐性Lv.2 ［×2/3］反動ダメージ ［×2/3］HP消費,
九番目の首飾り,アーティファクト,海蛇座,,HP：900 自然回復：3.0 火耐性：-200.0 水耐性：15.0 即死耐性：50.0 毒耐性：50.0 蘇生成功率：3.0,超再生能力 レルネーの盟友（海蛇座）,
