名称,ランク,ドロップ,属性,基本性能,スキル,備考
マンドレイクパウダー,レア,いにしえの原生林,,毒耐性：15.0 麻痺耐性：15.0 睡眠耐性：15.0 呪い耐性：15.0 混乱耐性：15.0,［サモン］状態異常耐性Lv.1,
ピッキングツール,レア,裏門 隠し砦ラスタルファ,,解錠：30.0 機械特攻：10.0 アイテムDROP率：0.2,器用Lv.2,
毒蜘蛛の刺青,レア,地下水路 シークレットトンネル,,行動速度：70 毒攻撃：30.0 毒威力：1.0 毒耐性：20.0,,蝕みセット
ダイナソーステーキ,レア,いにしえの原生林,,HP：600 防御力：200 自然回復：5.0,,
アリゲーターバッグ,レア,インサイドビーチ,,攻撃力：70 防御力：100 敵対：200.0 魔獣特攻：10.0 アイテムDROP率：1.5,,
タツノオトシゴアミュレット,レア,シーハーピィの狩猟場,,HP：150 防御力：80 斬耐性：10.0 壊耐性：10.0 呪い耐性：25.0 混乱耐性：25.0,,
ファイアーゲイザー,レア,消えずの灯台 No.13,,命中：200 貫通攻撃：20.0 突威力：5.0 火威力：13.0 火耐性：15.0,,灯台セット
塩田管理認可証,レア,コロシアム・本戦第一試合,,解錠：40.0 水耐性：15.0 地耐性：15.0 アイテムDROP率：1.0,,
勇敢な船乗りの勲章,レア,渦潮の近道 コロシアム・本戦準決勝,,攻撃力：70 魔力：70 命中：150.0 攻撃回数：3 固定ダメージ：10.0 蘇生成功率：1.0,,竜追いセット
白い布,レア,コロシアム・本戦第一試合,,攻撃力：50 防御力：50 魔防：50 行動速度：50 即死耐性：10.0 アイテムDROP率：1.0,,
脱獄囚の合鍵,レア,スチームウォール,,回避：150 解錠：70.0 機械特攻：20.0 アイテムDROP率：2.0 固定ダメージ：20.0 最低命中率：0.5,,
監獄島の通行許可証,レア,スチームウォール,,魔防：100 敵対：-200.0,魔除け,
ハーフムーンバッジ,レア,監獄島の港,,魔力：80 火耐性：10.0 呪い耐性：15.0 暗闇耐性：15.0,状態異常耐性Lv.1 ［変換］夜間命中10%⇒［倍率］魔防,満ち欠けセット
小悪魔のランプ,レア,マグマストリーム,,混乱攻撃：20.0 火耐性：10.0 地耐性：10.0 アイテムDROP率：1.5,［サモン］ヘルインプ,天使と小悪魔セット
メンテナンスキット,レア,隠し砦ラスタルファ 奇跡の源泉,,命中：150 解錠：60.0 機械特攻：10.0 オプション付与率：1.0 最低命中率：1.0,［短縮］罠クールダウンLv.1,狙撃手セット
カナリアコール,レア,機械トロッコ坑道,,毒耐性：50.0 沈黙耐性：20.0,カナリアコール,
アビスゲイザー,レア,禁足の風穴,,防御力：100 拡散攻撃：20.0 壊威力：5.0 地威力：13.0 地耐性：15.0,,
こびとのパン,レア,ドワーフの試練遺跡,,HP：100 自然回復：1.0 物理回避率：0.5 魔法回避率：0.5 ブレス回避率：0.5,［上限］回避率Lv.1,巨小セット
機械仕掛けのアミュレット,レア,機工都市アルマニア,,防御力：80 魔防：80 致命打率耐性：20.0 即死耐性：20.0,［上限］物理耐性Lv.1 ［上限］魔法耐性Lv.1,
マンドラゴラの球根,レア,無明の最深層,,魔力：100 麻痺攻撃：25.0 呪い攻撃：25.0 ブレス威力：10.0,死の叫び,
沈黙のマリオネット,レア,無明の最深層,,魔力：120 敵対：-250.0 致命打率：5.0 反撃無効化率：10.0,［状態］沈黙,
樹命のバレッタ,レア,地竜の森,,魔力：150 火耐性：-10.0 水耐性：8.0 風耐性：8.0 地耐性：8.0 雷耐性：8.0 毒耐性：-20.0,［上限］地耐性Lv.2,
黄金都市のランプ,レア,暴かれた金鉱脈,,壊耐性：5.0 地耐性：5.0 暗闇耐性：50.0 アイテムDROP率：3.0 オプション付与率：1.0,［無効］暗闇,
ひび割れた羅針盤,レア,フイユルージュワイナリー,,行動速度：300 致命打率：5.0 竜特攻：10.0 斬威力：5.0 アイテムDROP率：2.0,,風と猟犬セット
宵闇の星盤,レア,星崩しの古塔,,魔力：100 魔防：100 暗闇耐性：25.0 アイテムDROP率：2.0,ホロスコープ ［PT］探索時間-5%,
メイデンカレイドスコープ,レア,星崩しの古塔,,魔力：100 命中：200 夜間命中：5.0 支援発動率：2.0,カレイドスコープ ［上限］カウントLv.1,
帯電石,ユニーク,ウィンドリア高原 抜け落ちた海 クリスタル峡谷,,防御力：60 魔防：60 雷威力：10.0 雷耐性：10.0 麻痺耐性：25.0,［属性］雷 ［上限］雷耐性Lv.1,
獄炎石,ユニーク,四大精霊の塔 燃える大海,,防御力：60 魔防：60 火威力：10.0 火耐性：10.0 呪い耐性：15.0,［属性］火 ［上限］火耐性Lv.1,
水鏡石,ユニーク,四大精霊の塔 ディープシーケイブ 魚座,,防御力：60 魔防：60 水威力：10.0 水耐性：10.0 混乱耐性：15.0,［属性］水 ［上限］水耐性Lv.1,
風鳴石,ユニーク,四大精霊の塔 禁足の風穴,,防御力：60 魔防：60 風威力：10.0 風耐性：10.0 睡眠耐性：15.0,［属性］風 ［上限］風耐性Lv.1,
地底石,ユニーク,四大精霊の塔,,防御力：60 魔防：60 地威力：10.0 地耐性：10.0 毒耐性：15.0,［属性］地 ［上限］地耐性Lv.1,
ブラックケルピーオイル,ユニーク,黒霧の沼地,,毒攻撃：25.0 毒威力：1.5 火耐性：-50.0 毒耐性：25.0,,オイルセット
ラフレシアの蜜,ユニーク,いにしえの原生林,,HP：150 敵対：50.0 麻痺攻撃：60.0 混乱攻撃：30.0,［サモン］麻痺攻撃Lv.2 ［サモン］混乱攻撃Lv.2,
ダムレイの足飾り,ユニーク,裏門 コロシアム・本戦第二試合,,HP：200 攻撃力：40 防御力：80 地耐性：10.0 混乱耐性：25.0 オプション付与率：1.0,,
狩猟犬の笛,ユニーク,コロシアム・予選 監獄迷宮,,HP：100 命中：150 獲得経験値：5.0 致命打率：10.0 魔獣特攻：10.0 アイテムDROP率：1.0 支援発動率：0.3,［サモン］ライカンスロープ,
灰色の眼帯,ユニーク,コロシアム・本戦準決勝,,命中：200 獲得経験値：10.0 暗闇耐性：15.0,,豪運セット
不死鳥の灰,ユニーク,不死鳥座,,命中：200 自然回復：3.0 火耐性：15.0 アイテムDROP率：2.0,［倍率］HP+30%,
レジェンドソルト,ユニーク,コロシアム・本戦第一試合,,HP：500 自然回復：3.0 オプション付与率：1.5,［倍率］HP+60%,高級塩セット
渦潮の涙,ユニーク,渦潮の近道,,魔防：200 混乱攻撃：20.0 拡散攻撃：20.0 水威力：10.0,,
黄金の鍵,ユニーク,抜け落ちた海 雷竜座,,解錠：100.0 竜特攻：20.0 アイテムDROP率：3.0 オプション付与率：1.0,器用Lv.3 ［PT］DROP率+10,
呪われし金貨,ユニーク,忘らるる金塊船,,HP：-200 呪い耐性：-30.0 アイテムDROP率：5.0 オプション付与率：2.0,［状態］呪い,
血塗られし羅針盤,ユニーク,忘らるる金塊船,,HP：-500 自然回復：-5.0 敵対：150.0 吸収：-3.0 壊耐性：10.0 アイテムDROP率：4.0,［PT］探索時間-10%,金塊船セット
金塊船の海賊旗,ユニーク,忘らるる金塊船 竜骨座,,HP：120 攻撃力：60 防御力：60 敵対：200.0 突耐性：5.0,ゴールデンオーダー,金塊船セット
秘密の海図,ユニーク,忘らるる金塊船 竜骨座,,回避：150 解錠：30.0 睡眠耐性：15.0 混乱耐性：15.0 アイテムDROP率：4.0 オプション付与率：1.0,［PT］探索時間-15%,
赦されざる契約書,ユニーク,贖罪の双子塔,,HP：-1000 魔力：200 呪い耐性：-50.0 屍耐性：-50.0,［サモン］赦されざる者 ［状態］呪い ［状態］屍 ［サモン］呪い攻撃Lv.2,
海獣の王魂,ユニーク,竜巻諸島,,HP：350 攻撃力：100 防御力：100 自然回復：1.0 魔獣特攻：15.0,ランページ 王魂,海獣王セット
フルムーンバッジ,ユニーク,監獄島の港,,魔力：100 火耐性：15.0 呪い耐性：20.0 暗闇耐性：20.0,フルムーン 状態異常耐性Lv.2 ［変換］夜間命中15%⇒［倍率］魔防,満ち欠けセット
マロートの右天秤,ユニーク,贖罪の双子塔,,防御力：150 魔防：150 オプション付与率：2.0,,双子天使セット
ハルトの左天秤,ユニーク,贖罪の双子塔,,攻撃力：150 魔力：150 アイテムDROP率：2.0,,双子天使セット
ヘファエのバッグ,ユニーク,隠し砦ラスタルファ,,魔力：100 魔防：200 自然回復：1.5 戦闘後全体回復：2.0 斬耐性：5.0 突耐性：5.0 壊耐性：5.0 オプション付与率：1.5,メディカルストーン,保険セット
慈悲の懐中時計,ユニーク,機械技師ヴァーニアの識界,,攻撃力：50 命中：250 解錠：50.0 機械特攻：25.0 最低命中率：0.5,［無効］オリハルコン,慈悲セット
重力獅子のたてがみ,ユニーク,地竜の森,,魔力：100 魔防：200 地威力：10.0 地耐性：25.0,［サモン］グラビティライオン ［重力］防御力+15% ［重力］魔力+15%,
バイナリーオービット,ユニーク,占星帝国ガガリオン,,魔力：100 魔防：100 魔法ブロック率：2.0,［発動］レイ,バイナリーセット
巨人の林檎,ユニーク,ドワーフの試練遺跡,,HP：300 攻撃力：200 防御力：200 魔防：100 壊威力：5.0 地威力：5.0,巨人の心 ［無効］かばう ［先制］忍耐カウントLv.1,巨小セット
グレムリンの歪角,ユニーク,無明の最深層,,回避：200 解錠：20.0 機械特攻：20.0 物理回避率：2.0,トラップジャマー,
機械馬の鉄鞍,ユニーク,地竜の森,,攻撃力：80 防御力：80 魔力：80 行動速度：200 屍攻撃：10.0 突威力：10.0 風威力：5.0 再行動発動率：1.5,一陣の風,幕開けセット
イノベーションスクロール,ユニーク,隠し砦ラスタルファ,,魔力：160 魔防：160 解錠：30.0 混乱耐性：25.0 オプション付与率：2.0,イノベーション,鬼才セット
七炎槍,ユニーク,篝火の鋼鉄霊廟,,攻撃力：100 魔力：150 命中：50 貫通攻撃：15.0 多段攻撃：10.0 火威力：5.0,,監獄卿セット
