名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーリング,ノーマル,,,HP：8 魔防：8 命中：6 行動速度：6,,
ハンターリング,ノーマル,,,HP：12 魔防：12 命中：10 行動速度：10 魔獣特攻：5.0,,
ブロンズリング,ノーマル,,,HP：20 魔防：20 命中：15 行動速度：15 悪魔特攻：5.0 不死特攻：5.0,,
バトルリング,ノーマル,,,HP：30 魔力：40 魔防：30 命中：25 行動速度：25,,
アイアンリング,ノーマル,,,HP：50 魔防：50 命中：50 行動速度：40 最低命中率：0.5,,
デュエルリング,ノーマル,,,HP：70 魔防：70 命中：60 行動速度：60 格闘：0.5,,
クルセイダーリング,ノーマル,,,HP：150 魔防：90 命中：80 行動速度：80,,
ルーンリング,ノーマル,,,HP：120 魔力：50 魔防：120 命中：100 行動速度：100,,
インペリアルリング,ノーマル,,,HP：180 魔防：180 命中：150 行動速度：150 幻神特攻：10.0,,
ボーンリング,レア,古代の墓地 黒霧の沼地,,魔防：30 行動速度：70,,ボーンセット
荊棘の指輪,レア,天地逆転ピラミッド,,HP：-500 魔力：150 呪い攻撃：15.0 呪い耐性：30.0,ブラッドマジック,流血セット
封魔の指輪,レア,古代図書館 スチームウォール,,魔防：100 吸収：1.0 悪魔特攻：10.0 竜特攻：10.0 魔獣特攻：10.0,,
オクトパスリング,レア,群青商港,,攻撃回数：1 水耐性：10.0 最低命中率：0.5,,オクトパスセット
蒼海の指輪,レア,海上騎士団管轄海域,,HP：300 悪魔特攻：10.0 不死特攻：10.0 魔獣特攻：10.0,［無効］混乱 ［倍率］HP+20%,
海鳴りの鈴,レア,シーハーピィの狩猟場,,魔力：80 獲得経験値：10.0 壊威力：10.0 水威力：10.0 水耐性：10.0 固定ダメージ：5.0,,海鳴りセット
監視者の指輪,レア,海底神殿 スチームウォール,,防御力：50 命中：300 貫通攻撃：20.0 最低命中率：1.5,,
煙幕の指輪,レア,逆流溶岩道,,防御力：-100 回避：100 風耐性：-10.0 致命打率耐性：5.0 物理回避率：2.0 支援発動率：0.5,［上限］回避率Lv.2,
クリスタルの指輪,レア,クリスタル峡谷,,魔力：80 魔防：100 無威力：5.0 火耐性：5.0 水耐性：5.0 地耐性：5.0 風耐性：5.0 雷耐性：5.0,［上限］魔法耐性Lv.1,
ナマズの髭,レア,地底大水脈,,地耐性：15.0,［上限］地耐性Lv.2,
ブラックケルピーリング,ユニーク,黒霧の沼地,,HP：-50 魔防：30 行動速度：200 毒耐性：25.0,,
ウインドリング,ユニーク,風竜の爪痕 ウィンドリア高原 禁足の風穴,,HP：70 魔防：50 行動速度：40 風威力：10.0 風耐性：20.0,,ウイングセット
ファイアーリング,ユニーク,ウィンドリア高原 コロシアム・本戦決勝 吟遊詩人ヒュルドの識界 地獄の門,,HP：70 魔防：50 行動速度：40 火威力：10.0 火耐性：20.0,,
ウォーターリング,ユニーク,ウィンドリア高原 群青運河 黒鯨の巣,,HP：70 魔防：50 行動速度：40 水威力：10.0 水耐性：20.0,,
アースリング,ユニーク,ウィンドリア高原 地竜の森,,HP：70 魔防：50 行動速度：40 地威力：10.0 地耐性：20.0,,
ライトニングリング,ユニーク,ウィンドリア高原,,HP：70 魔防：50 行動速度：40 雷威力：10.0 雷耐性：20.0,,
アクアケルピーリング,ユニーク,群青運河,,行動速度：70 水威力：12.0 水耐性：15.0 雷耐性：-20.0,水中呼吸 ［水中］魔力+10%,
校長の指輪,ユニーク,ゼイン魔法アカデミー コロシアム・本戦決勝,,HP：150 魔力：50 呪い耐性：30.0,,プリンシパルセット
シルフの指輪,ユニーク,四大精霊の塔,,行動速度：130 攻撃回数：2 混乱攻撃：10.0 風威力：10.0 風耐性：20.0 混乱耐性：20.0 沈黙耐性：10.0,［短縮］風属性クールダウンLv.1,
船乗りの大切な指輪,ユニーク,群青商港,,HP：100 睡眠耐性：50.0 アイテムDROP率：2.0,,
錨の指輪,ユニーク,コロシアム・本戦準決勝,,攻撃力：80 致命打威力：7.0 竜特攻：20.0 雷耐性：15.0 アイテムDROP率：2.0 反撃発動率：0.5,,怒りセット
チェンジリング,ユニーク,プリズナーズライン,,魔防：100 回避：150 行動速度：100 アイテムDROP率：1.5,トリックアタック,
ドルフィンキュリオシティ,ユニーク,マグマストリーム,,魔防：100 獲得経験値：10.0 水耐性：10.0 混乱耐性：10.0 アイテムDROP率：2.0 オプション付与率：1.5,［PT］オプション付与率+10,
ヴェンジフルリング,ユニーク,月影の巌窟島,,攻撃力：80 敵対：100.0 反撃発動率：1.0,復讐心 ［上限］怒りカウントLv.1,憎悪セット
ダイアモンドの指輪,ユニーク,ドワーフの試練遺跡,,敵対：500.0 斬耐性：10.0 雷耐性：10.0 アイテムDROP率：4.0 オプション付与率：2.5,［上限］斬耐性Lv.1 ［PT］DROP率+20 ［PT］オプション付与率+10,上流セット
大地の指輪,ユニーク,地竜の花畑 地竜座,,HP：300 行動速度：-100 自然回復：2.0 壊威力：5.0 地威力：15.0 地耐性：20.0,［上限］地耐性Lv.1 ［短縮］地属性クールダウンLv.1,
ポイズンコア,アーティファクト,黒霧の沼地,,毒攻撃：40.0 毒威力：2.0,以毒制毒 ［状態］毒 ［×2］毒ダメージ,ファフニールセット
スフィンクスの髭,アーティファクト,アキーク王宮,,風威力：15.0 風耐性：25.0 地耐性：15.0,トルネード,アキークセット
リバースリング,アーティファクト,天地逆転ピラミッド,,行動速度：80,［状態］逆転,
マンイーターイーターの疑似餌,アーティファクト,人食いの遺跡,,敵対：150.0,疑似餌,
聖騎士団長の腕章,アーティファクト,天地逆転ピラミッド,,HP：300 攻撃力：50 防御力：150 不死特攻：30.0 呪い耐性：30.0,,騎士道セット
夢魔女王の指輪,アーティファクト,夢魔座,,魔防：200 睡眠攻撃：20.0 混乱攻撃：20.0 水耐性：15.0 雷耐性：15.0 オプション付与率：2.0 反撃発動率：0.7,［サモン］サキュバス 魅了,
監獄卿のインシグニア,アーティファクト,篝火の鋼鉄霊廟,,召喚枠：1.0 火威力：15.0,［サモン］全能力値+14%,監獄卿セット
完全水晶,アーティファクト,水晶座,,魔力：100 無威力：5.0 オプション付与率：2.0 固定ダメージ：25.0 反射ダメージ：100.0 反撃無効化率：3.0,［上限］魔法耐性Lv.2,
