名称,ランク,ドロップ,属性,基本性能,スキル,備考
レザーシールド,ノーマル,,,防御力：8 回避：10 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
ハンターシールド,ノーマル,,,防御力：12 回避：16 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
ブロンズシールド,ノーマル,,,防御力：16 回避：24 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
バトルシールド,ノーマル,,,防御力：30 回避：60 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
アイアンシールド,ノーマル,,,防御力：60 回避：64 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
デュエルシールド,ノーマル,,,防御力：76 回避：100 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
クルセイダーシールド,ノーマル,,,HP：80 防御力：120 回避：120 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
ルーンシールド,ノーマル,,,防御力：120 魔防：100 回避：240 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
インペリアルシールド,ノーマル,,,防御力：180 回避：240 機械特攻：5.0 貫通耐性：5.0 拡散耐性：5.0 致命打率耐性：5.0,,
バックラー,レア,古代の墓地,,攻撃力：20 防御力：18 貫通耐性：10.0,,
ボーンシールド,レア,古代の墓地,,防御力：30 貫通耐性：10.0 拡散耐性：10.0,,
カイトシールド,レア,黒霧の沼地,,防御力：30 行動速度：-40 貫通耐性：10.0 拡散耐性：15.0,,
タワーシールド,レア,初代王のピラミッド 天地逆転ピラミッド 裏門,,防御力：75 行動速度：-100 貫通耐性：10.0 拡散耐性：20.0,,ウォールセット
岩亀甲羅,レア,群青運河,,HP：150 防御力：150 回避：-100 行動速度：-300 雷耐性：-20.0 貫通耐性：25.0 拡散耐性：25.0 反射ダメージ：40.0,,
スパイクシールド,レア,魔海域北東部,,攻撃力：70 防御力：105 貫通耐性：10.0 拡散耐性：10.0 反射ダメージ：50.0,反射ダメージLv.3,
ミラーシールド,レア,歯車の遺跡,,防御力：30 魔防：220 回避：150 拡散耐性：-30.0 呪い耐性：25.0 石化耐性：25.0 反射ダメージ：150.0,魔法耐性Lv.1,
ナイトロード,レア,初代王のピラミッド,,HP：500 防御力：150 貫通耐性：30.0 拡散耐性：15.0,かばう,騎士道セット
ソーダシールド,レア,星拾いの珊瑚島,,防御力：120 貫通耐性：15.0 拡散耐性：50.0,,
珊瑚の盾,レア,渦潮の近道,,防御力：150 魔力：80 魔防：150 貫通耐性：15.0 拡散耐性：10.0,魔法耐性Lv.1 ［倍率］魔防+10%,
アジュールシールド,レア,海上騎士団管轄海域,,HP：200 防御力：165 貫通耐性：15.0 拡散耐性：10.0 混乱耐性：20.0,,
ガーゴイルの盾,レア,消えずの灯台 No.13,,防御力：200 魔防：150 風耐性：10.0 貫通耐性：20.0 拡散耐性：20.0 石化耐性：10.0,,ガーゴイルセット
ソルトキーパーシールド,レア,コロシアム・本戦第一試合,,防御力：200 戦闘後全体回復：3.0 貫通耐性：15.0 拡散耐性：30.0,,
スパイクデンキシールド,レア,魔海域北東部,,攻撃力：60 防御力：150 魔防：150 雷威力：10.0 雷耐性：20.0 貫通耐性：15.0 拡散耐性：10.0 反射ダメージ：30.0,反射ダメージLv.3,
眠りの盾,レア,海底神殿 無明の最深層,,防御力：350 睡眠攻撃：30.0 貫通耐性：25.0 拡散耐性：10.0 睡眠耐性：-100.0 固定ダメージ：10.0,,おやすみセット
アンモナイトシールド,レア,ディープシーケイブ 無明の最深層,,防御力：300 魔防：120 斬耐性：15.0 水耐性：10.0,,
チョッパーシールド,レア,竜巻諸島,,攻撃力：100 防御力：300 斬威力：5.0 貫通耐性：15.0 反射ダメージ：60.0 物理ブロック率：3.0,回転刃,
マグマガード,レア,地獄の門,,防御力：270 魔防：270 火威力：10.0 火耐性：15.0 水耐性：-10.0 貫通耐性：-25.0 魔法ブロック率：5.0,［上限］火耐性Lv.2,マグマセット
反逆者の盾,レア,吊し人座,,攻撃力：100 防御力：300 魔防：150 貫通耐性：15 拡散耐性：20 反射ダメージ：200 麻痺耐性：20.0 停止耐性：20.0,［無効］逆転,
ラヴァボムシールド,レア,逆流溶岩道,,防御力：350 行動速度：-200 拡散攻撃：10.0 火威力：10.0 火耐性：10.0 貫通耐性：10.0 拡散耐性：15.0 石化耐性：-20.0,［反撃］自爆,
クァールリフレクター,レア,月影の巌窟島,,攻撃力：80 防御力：300 魔防：150 回避：150 貫通耐性：10.0 反射ダメージ：100.0 物理ブロック率：2.0 反撃発動率：2.0,,
シールドトロッコ,レア,機械トロッコ坑道 機械技師ヴァーニアの識界,,防御力：150 魔防：150 行動速度：250 突威力：5.0,正面突破,坑道セット
ハニカムシールド,レア,地竜の森,,防御力：400 行動速度：150 物理ブロック率：5.0 魔法ブロック率：-5.0,［上限］物理耐性Lv.2,穴セット
マグネットシールド,レア,ドワーフの試練遺跡,,防御力：220 魔防：150 命中：150 機械特攻：15.0,［回避率無視］機械,
二等星の占星盾,レア,フイユルージュワイナリー 占星帝国ガガリオン,,防御力：220 魔力：100 魔防：220 獲得経験値：10.0 風耐性：15.0 拡散耐性：20.0 魔法ブロック率：1.0,,占星騎士セット
エレクトリックバリア,レア,いかずち大海溝,,防御力：200 魔力：100 魔防：300 麻痺攻撃：25.0 雷威力：10.0 雷耐性：15.0,［上限］雷耐性Lv.1 ［落雷］防御力+10%,いかずちセット
メテオラボード,レア,星崩しの古塔,,攻撃力：70 防御力：150 回避：350 風耐性：10.0 地耐性：10.0 魔法回避率：2.0 ブレス回避率：2.0,ハイテンション 浮遊,
デュラハンシールド,ユニーク,天地逆転ピラミッド,,HP：-100 防御力：120 貫通耐性：15.0 拡散耐性：15.0 混乱耐性：15.0 暗闇耐性：15.0,,真・デュラハンセット
凶鰐の盾,ユニーク,インサイドビーチ インサイドビーチ,,攻撃力：90 防御力：200 魔防：120 行動速度：-100 致命打威力：5.0 貫通耐性：20.0 拡散耐性：25.0 火耐性：10.0 反撃無効化率：2.0,隠れ身Lv.1,
大岩亀甲羅,ユニーク,魔海域北東部,,HP：200 防御力：270 回避：-200 行動速度：-1250 自然回復：1.0 雷耐性：-20.0 貫通耐性：30.0 拡散耐性：30.0 反射ダメージ：80.0,重甲 殻に篭る ［行動制限］偶数ターン 反射ダメージLv.3,
雷竜の盾,ユニーク,抜け落ちた海 雷竜座,,防御力：270 魔力：100 行動速度：150 致命打率：5.0 致命打威力：10.0 雷威力：10.0 雷耐性：15.0 貫通耐性：15.0 拡散耐性：20.0,,
ゴーストシールド,ユニーク,忘らるる金塊船 竜骨座,,HP：300 回避：300 呪い耐性：25.0,物理回避率Lv.2 魔法回避率Lv.2 ブレス回避率Lv.2,
ケレヴの反撃盾,ユニーク,罪人たちの楽園,,攻撃力：50 防御力：150 狂化攻撃：10.0 火耐性：10.0 貫通耐性：10.0 最低命中率：1.0 物理ブロック率：2.0 反撃発動率：1.0,［変換］狂化攻撃10%⇒物理ブロック率 ［変換］狂化攻撃10%⇒反撃発動率,
カメレオンタペストリー,ユニーク,スチームウォール,,防御力：-500 回避：500 火耐性：-20.0,透明 保護色 回避率Lv.3,霧隠れセット
悪魔の加護盾,ユニーク,月影の巌窟島,,防御力：250 魔防：600 呪い攻撃：15.0 悪魔特攻：10.0 貫通耐性：15.0 オプション付与率：1.0 物理ブロック率：2.0 魔法ブロック率：2.0 ブレスブロック率：2.0,カウンターヒール,道連れセット
メディックシールド,ユニーク,隠し砦ラスタルファ,,防御力：300 魔力：100 魔防：300 戦闘後全体回復：3.0 物理ブロック率：1.0 魔法ブロック率：1.0 ブレスブロック率：1.0 支援発動率：1.0,応急キット,
命綱の盾,ユニーク,禁足の風穴,,防御力：1 魔防：1 致命打率耐性：15.0 即死耐性：15.0,命綱,保険セット
ガンマスクトゥム,ユニーク,地底大水脈,,防御力：850 魔防：850 行動速度：-1000 貫通耐性：25.0 拡散耐性：25.0 致命打率耐性：25.0 物理ブロック率：4.0 反撃発動率：-15.0,ウォール ［倍率］行動速度-95%,
トレジャーガーディアン,ユニーク,暴かれた金鉱脈,,HP：100 防御力：200 魔防：200 敵対：150 地耐性：10.0 貫通耐性：20.0 拡散耐性：20.0 アイテムDROP率：2.0 オプション付与率：2.0,トレジャーガーディアン,
死喰いの盾,ユニーク,古代の水葬場,,HP：100 防御力：200 魔防：100 自然回復：2.0 屍攻撃：15.0 拡散耐性：20.0 毒耐性：50.0,,
茹でクラーケンの湯桶,ユニーク,奇跡の源泉,,HP：100 防御力：220 魔防：150 行動速度：100 自然回復：3.0 壊耐性：10.0 火耐性：10.0 水耐性：10.0 拡散耐性：25.0 物理ブロック率：1.5,,
初代王の棺,ユニーク,初代王のピラミッド,,防御力：380 魔防：220 回避：-300 屍攻撃：10.0 オプション付与率：2.0 物理ブロック率：5.0 蘇生成功率: 1.0,［砂嵐］攻撃力+10% ［砂嵐］防御力+10%,
聖騎士の盾,ユニーク,天地逆転ピラミッド,,HP：100 防御力：300 魔防：300 回避：150 突耐性：20.0 貫通耐性：20.0 拡散耐性：20.0 混乱耐性：20.0 暗闇耐性：20.0 魔法回避率：2.0,ヴァリエンス,聖騎士セット
ロックトドア,ユニーク,機工都市アルマニア,,防御力：450 魔防：300 回避：-1000 貫通耐性：25.0 拡散耐性：25.0 物理ブロック率：4.0 魔法ブロック率：4.0 ブレスブロック率：4.0,かばう 常にかばう ［無力］回避率 オートロック ［行動制限］奇数ターン ［行動制限］偶数ターン,
蛇睨みの盾,ユニーク,機工都市アルマニア,,防御力：300 魔防：250 敵対：150.0 麻痺攻撃：50.0 致命打率耐性：10.0 毒耐性：25.0 麻痺耐性：25.0 物理ブロック率：4.0 反撃発動率：2.0,［反撃］麻痺睨み ［無効］毒,幕開けセット
地竜の盾,ユニーク,地竜の花畑 地竜座,,HP：200 防御力：400 魔防：250 幻神特攻：5.0 地威力：10.0 地耐性：15.0 貫通耐性：25.0 拡散耐性：25.0 物理ブロック率：5.0,［重力］攻撃力+10% ［重力］防御力+10%,地竜セット
アルティマイトシールド,ユニーク,ワールズエンドクレーター,,防御力：250 魔防：250 ブレス威力：5.0 貫通耐性：15.0 拡散耐性：15.0,,アルティマイトセット
未来予知の星盾,ユニーク,占星帝国ガガリオン,,防御力：150 魔力：150 魔防：400 暗闇耐性：10.0 物理ブロック率：1.0 魔法ブロック率：1.0 ブレスブロック率：1.0,未来予知 ［上限］集中カウントLv.1,占星帝セット
豪雨の盾,ユニーク,丘の上の墓,,防御力：220 魔力：150 魔防：270 水威力：10.0 水耐性：15.0 混乱耐性：15.0 魔法ブロック率：2.0,［雨］防御力+10% ［雨］魔防+10%,豪雨セット
アルファプレート,アーティファクト,海底神殿,,防御力：600 魔防：400 行動速度：180 火耐性：15.0 水耐性：15.0 風耐性：15.0 地耐性：15.0 雷耐性：15.0 貫通耐性：30.0 拡散耐性：15.0 魔法ブロック率：3.0,マジックバリア ［上限］魔法耐性Lv.3 ［倍率］行動速度+25%,
イージスの盾,アーティファクト,楯座,,防御力：750 魔防：500 斬耐性：10.0 突耐性：10.0 壊耐性：10.0 貫通耐性：20.0 拡散耐性：25.0 致命打率耐性：15.0 石化耐性：20.0 オプション付与率：1.0 物理ブロック率：3.0 魔法ブロック率：3.0 ブレスブロック率：3.0,パラスアテナ ［上限］物理耐性Lv.3 ［×5/6］裂傷,
