名称,ランク,ドロップ,属性,基本性能,スキル,備考
スタッフ,ノーマル,,壊,攻撃力：15 魔力：36 攻撃回数：1,,
ハンタースタッフ,ノーマル,,壊,攻撃力：24 魔力：60 攻撃回数：1,,
ブロンズスタッフ,ノーマル,,壊,攻撃力：36 魔力：90 攻撃回数：1,,
バトルスタッフ,ノーマル,,壊,攻撃力：60 魔力：150 攻撃回数：1,,
アイアンスタッフ,ノーマル,,壊,攻撃力：102 魔力：250 攻撃回数：1,,
デュエルスタッフ,ノーマル,,壊,HP：-200 攻撃力：132 魔力：330 攻撃回数：1,エナジーブロー,
クルセイダースタッフ,ノーマル,,壊,攻撃力：186 魔力：460 攻撃回数：1 悪魔特攻：15.0,,
ルーンスタッフ,ノーマル,,壊,攻撃力：240 魔力：730 攻撃回数：1,,
インペリアルスタッフ,ノーマル,,壊,攻撃力：300 魔力：750 攻撃回数：1,,
土の杖,レア,北西の海岸線,壊,攻撃力：20 魔力：52 攻撃回数：1 地威力：30.0,,
ハイ・スタッフ,レア,黒霧の沼地,壊,攻撃力：36 魔力：120 攻撃回数：1,,成金セット
理力の杖,レア,人食いの遺跡,壊,攻撃力：20 魔力：130 攻撃回数：1,,
炎の杖,レア,亜熱帯の草原,壊,攻撃力：45 魔力：160 攻撃回数：1 火威力：30.0,,
セイントスタッフ,レア,アキーク王宮,壊,攻撃力：80 魔力：270 攻撃回数：1 不死特攻：70.0 混乱耐性：20.0,,導きセット
火かき棒,レア,消えずの灯台 No.13 マグマストリーム,突,攻撃力：200 攻撃回数：2 暗闇攻撃：30.0 火威力：20.0 固定ダメージ：60.0,,
珊瑚の杖,レア,渦潮の近道,壊,攻撃力：200 攻撃回数：2 暗闇攻撃：30.0 火威力：20.0 固定ダメージ：60.0,,
アジュールワンド,レア,海上騎士団管轄海域,壊,攻撃力：250 魔力：750 獲得経験値：15.0 潜在性：4.0,組織力,
海鳴りの杖,レア,シーハーピィの狩猟場,壊,HP：300 攻撃力：200 魔力：825 水威力：40.0 水耐性：25.0,,海鳴りセット
ルミナスの杖,レア,ソルトルート,壊,攻撃力：100 魔力：825 命中：150 敵対：300.0 悪魔特攻：15.0 夜間命中：25.0 最低命中率：2.0,発光,
ヴァイパーロッド,レア,コロシアム・本戦決勝 機工都市アルマニア,壊,攻撃力：150 魔力：870 毒攻撃：70.0 毒威力：1.0 毒耐性：50.0,,
沈黙のカナリア,レア,機械トロッコ坑道,壊,魔力：750 沈黙攻撃：50.0 毒耐性：25.0 アイテムDROP率：1.0,［発動］サイレントソング,
占星術実践論,レア,フイユルージュワイナリー 占星帝国ガガリオン,壊,魔力：900 魔防：300 命中：150 獲得経験値：10.0,［短縮］占星術クールダウンLv.1,
迅雷杖,レア,いかずち大海溝,壊,魔力：950 回避：400 行動速度：400 雷威力：15.0,［変換］魔力15%⇒行動速度 ［落雷］行動速度+25%,
湯上がり大団扇,レア,奇跡の源泉,斬,攻撃力：200 防御力：200 魔力：700 自然回復：1.0 風威力：20.0 火耐性：20.0,癒しの風,
オークスタッフ,ユニーク,亜熱帯の草原,壊,攻撃力：110 魔力：255 攻撃回数：2 地耐性：10.0,,
ほね棍棒,ユニーク,教会への裏参道,壊,攻撃力：450 攻撃回数：-6 混乱攻撃：10.0 アイテムDROP率：1.0,,
エレメンタルワンド,ユニーク,アジーナル平野 水晶座,壊,攻撃力：50 魔力：250 火威力：30.0 水威力：30.0 風威力：30.0 地威力：30.0 雷威力：30.0,エレメンタルシールド,
親友のステッキ,ユニーク,丘の上の墓,壊,魔力：600 雷威力：25.0 混乱耐性：30.0 アイテムDROP率：1.0,ライトニングストーム,
司令塔の双杖,ユニーク,黒鯨の巣,壊,HP：200 攻撃力：250 魔力：750,ダブルオーダー 召喚術Lv.1,
ゴルベの修道杖,ユニーク,コロシアム・本戦第二試合 罪人たちの楽園,壊,攻撃力：150 魔力：825 混乱耐性：30.0 アイテムDROP率：2.0 オプション付与率：1.5,,
ルナールの魔導書,ユニーク,コロシアム・本戦第二試合 罪人たちの楽園,壊,攻撃力：100 魔力：930 獲得経験値：20.0 混乱攻撃：30.0 暗闇攻撃：30.0,,
セイレーンハープ,ユニーク,星拾いの珊瑚島,壊,攻撃力：250 魔力：900 行動速度：-150 睡眠攻撃：40.0 不死特攻：25.0 水威力：30.0 水耐性：25.0,,
嘆きの杖,ユニーク,忘らるる金塊船,壊,攻撃力：200 魔力：900 致命打率：30.0 致命打威力：15.0 呪い攻撃：30.0 沈黙攻撃：30.0 沈黙耐性：50.0,,
