名称,ランク,ドロップ,属性,基本性能,スキル,備考
ロングソード,ノーマル,,斬,攻撃力：25 攻撃回数：2,,
ハンターソード,ノーマル,,斬,攻撃力：40 攻撃回数：2,,
ブロンズソード,ノーマル,,斬,攻撃力：60 攻撃回数：2,,
バトルソード,ノーマル,,斬,攻撃力：100 攻撃回数：2,,
アイアンソード,ノーマル,,斬,攻撃力：170 攻撃回数：2,,
デュエルソード,ノーマル,,斬,攻撃力：220 攻撃回数：2,,
クルセイダーソード,ノーマル,,斬,攻撃力：310 攻撃回数：2 悪魔特攻：15.0,,
ルーンソード,ノーマル,,斬,攻撃力：400 魔力：200 攻撃回数：2,,
インペリアルソード,ノーマル,,斬,攻撃力：500 攻撃回数：2,,
グラディウス,レア,北西の海岸線,斬,攻撃力：28 攻撃回数：3,,
シルバーソード,レア,北西の海岸線,斬,攻撃力：50 攻撃回数：2 悪魔特攻：30.0 不死特攻：40.0,,
レイピア,レア,人食いの遺跡,突,攻撃力：105 攻撃回数：4 貫通攻撃：30.0 固定ダメージ：20.0,,
キラーソード,レア,人食いの遺跡,斬,攻撃力：110 攻撃回数：2 人型特攻：40.0,,
テグハ,レア,亜熱帯の草原,斬,攻撃力：110 魔力：70 攻撃回数：3,,
モンスターキラー,レア,亜熱帯の草原,斬,攻撃力：110 攻撃回数：2 魔獣特攻：40.0,,
シャムシール,レア,アキーク大砂丘 コロシアム・本戦第二試合,斬,攻撃力：160 攻撃回数：2,,
フレイムソード,レア,初代王のピラミッド,斬,攻撃力：170 攻撃回数：2 火威力：30.0,,
猪の白牙,レア,いにしえの原生林 地竜の森,斬,HP：300 攻撃力：260 攻撃回数：2 魔獣特攻：40.0,,
フックソード,レア,教会への裏参道,斬,攻撃力：200 回避：70 攻撃回数：2 多段攻撃：70.0,,
ディフェンダー,レア,歯車の遺跡 海底神殿,斬,HP：200 攻撃力：260 防御力：120 攻撃回数：2 貫通耐性：20.0 拡散耐性：20.0,かばう ［変換］防御力12%⇒攻撃力,
雷鳴剣,レア,アジーナル平野,斬,攻撃力：320 行動速度：120 攻撃回数：2 雷威力：20.0 雷耐性：25.0,,
パイレーツカットラス,レア,パイレーツデッドシップ,斬,HP：200 攻撃力：400 攻撃回数：2 魔獣特攻：25.0 水耐性：10.0,,
ゾンビカットラス,レア,パイレーツデッドシップ,斬,HP：-500 攻撃力：666 毒攻撃：50.0 呪い攻撃：50.0 屍攻撃：50.0 吸収：5.0 固定ダメージ：40.0,［状態］屍,
トロピカルソード,レア,シーハーピィの狩猟場,斬,攻撃力：500 魔力：200 攻撃回数：2 昼間命中：20.0 オプション付与率：1.0,,トロピカルセット
珊瑚の剣,レア,渦潮の近道,斬,HP：350 攻撃力：500 魔力：300 睡眠攻撃：30.0 水威力：20.0 水耐性：25.0,,
召雷剣,レア,抜け落ちた海 雷竜座,斬,攻撃力：750 魔力：500 命中：300 行動速度：200 攻撃回数：3 雷威力：40.0 雷耐性：25.0,［落雷］攻撃力+15%,召雷セット
アジュールソード,レア,海上騎士団管轄海域,斬,HP：200 攻撃力：450 防御力：200 致命打威力：10.0,,
歴戦のボーンシャムシール,レア,忘らるる金塊船,斬,攻撃力：650 防御力：200 攻撃回数：5 自然回復：2.0 毒攻撃：40.0 貫通攻撃：20.0,,
濁流剣,レア,コロシアム・予選 海蛇座,斬,攻撃力：550 回避：300 攻撃回数：4 水威力：20.0 水耐性：15.0,,
歯車の古代剣,レア,監獄島の港,斬,攻撃力：650 命中：250 攻撃回数：3 多段攻撃：25.0 人型特攻：20.0 悪魔特攻：20.0 雷耐性：-20.0,,
錆びた鉄パイプ,レア,機械トロッコ坑道 機械技師ヴァーニアの識界,壊,攻撃力：50 命中：100 攻撃回数：2,,
呼び水のグラディウス,レア,地底大水脈,斬,攻撃力：700 魔力：700 命中：200 攻撃回数：4 水威力：25.0 水耐性：20.0,［発動］スプラッシュ,
リザードマンカットラス,ユニーク,アキーク砂漠 アキーク大砂丘,斬,攻撃力：180 攻撃回数：3 多段攻撃：20.0,,
ボーンシャムシール,ユニーク,アキーク大砂丘 忘らるる金塊船,斬,攻撃力：200 攻撃回数：3 毒攻撃：30.0 貫通攻撃：10.0,,
